Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
ADJ BDS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
ALJ,132,6,3,1,1,0,0,0,1,0,0,0,0,144,
ASP,1,1,0,0,1,1,0,0,0,0,0,0,14,18,
BLS,15,2,1,0,2,0,0,0,0,0,0,0,0,20,
CFO,6,9,0,2,2,0,0,0,0,0,0,0,6,25,
EBSA,253,102,22,9,8,0,5,1,1,4,3,1,25,434,
ETA,720,140,69,13,11,3,2,1,0,0,1,0,0,960,
EXEC SEC,0,0,0,0,0,0,0,0,0,1,1,1,3,6,
ILAB,19,1,1,0,0,0,0,0,0,0,1,0,1,23,
MSHA,1619,276,63,35,17,10,6,2,4,0,13,9,36,2090,
OASAM,87,85,32,9,3,3,0,3,3,1,2,0,0,228,
OCIA,12,4,3,1,0,0,1,0,0,0,0,0,8,29,
ODEP,13,0,0,0,0,0,0,0,0,0,0,0,57,70,
OFCCP,184,61,17,13,9,5,3,0,1,3,3,0,0,299,
OIG,5,2,0,0,1,1,0,1,0,1,2,1,2,16,
OLMS,24,7,2,2,1,0,0,0,0,0,1,0,0,37,
OPA,9,1,0,2,0,0,1,0,1,1,0,0,8,23,
OSEC,6,3,4,0,1,2,0,1,0,1,0,0,0,18,
OSHA,2960,582,139,55,56,27,29,17,14,6,42,14,55,3996,
OWCP,243,70,9,4,0,1,0,0,0,0,0,1,28,356,
SOL,37,16,17,7,6,5,2,3,2,0,3,5,11,114,
VETS,147,89,66,42,3,4,2,1,0,0,5,1,5,365,
WB,1,0,0,0,0,1,0,0,0,0,0,0,1,3,
WHD,239,192,52,35,11,13,10,8,4,1,15,5,12,597,
Total,6733,1649,500,230,133,76,61,38,31,19,92,38,272,9872,
