Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
ALJ,Date of Receipt,2015-09-29,2015-09-25,2015-09-23,2015-09-22,2015-09-21,2015-09-16,2015-09-14,2015-07-23,2015-07-23,2015-07-01
ALJ,Number of Days Pending,2,4,6,6,7,11,12,40,40,62
ASP,Date of Receipt,,,,,,,,2015-02-06,2015-01-15,2013-10-17
ASP,Number of Days Pending,,,,,,,,74,177,178
BLS,Date of Receipt,,,,,,,,,,2015-06-02
BLS,Number of Days Pending,,,,,,,,,,85
EBSA,Date of Receipt,2015-02-22,2015-02-22,2015-01-14,2015-01-14,2015-01-14,2015-01-13,2014-08-18,2014-06-10,2014-06-10,2014-05-01
EBSA,Number of Days Pending,152,152,172,172,172,173,280,290,290,352
ETA,Date of Receipt,2015-08-05,2015-08-03,2015-07-29,2015-07-24,2015-07-24,2015-07-22,2015-07-22,2015-07-22,2015-05-20,2015-05-15
ETA,Number of Days Pending,16,35,36,37,45,46,46,50,51,55
ILAB,Date of Receipt,,,,,,,2015-05-18,2015-01-25,2015-01-20,2012-04-04
ILAB,Number of Days Pending,,,,,,,28,173,174,180
MSHA,Date of Receipt,2014-08-08,2014-07-30,2014-07-10,2014-05-27,2014-05-22,2014-05-22,2014-04-29,2014-03-28,2013-05-06,2013-05-06
MSHA,Number of Days Pending,288,295,300,340,342,342,343,372,605,605
OASAM,Date of Receipt,2015-03-07,2015-03-05,2015-02-20,2015-01-28,2014-04-29,2014-04-29,2013-11-20,2013-11-19,2013-07-30,2013-07-29
OASAM,Number of Days Pending,141,143,147,170,171,171,466,467,468,539
OCIA,Date of Receipt,2015-06-01,2015-05-01,2015-04-13,2015-04-04,2015-03-02,2015-02-27,2015-01-14,2015-01-13,2015-01-12,2013-04-20
OCIA,Number of Days Pending,84,97,111,116,141,141,172,173,174,614
ODEP,Date of Receipt,,,,,,,,,,2015-08-10
ODEP,Number of Days Pending,,,,,,,,,,35
OFCCP,Date of Receipt,2015-02-06,2015-01-05,2014-12-03,2014-11-20,2014-11-14,2014-08-20,2014-07-01,2014-05-20,2014-04-23,2013-12-02
OFCCP,Number of Days Pending,76,187,209,214,221,279,308,343,362,458
OIG,Date of Receipt,2014-10-21,2014-09-08,2014-08-25,2014-07-31,2014-07-30,2014-07-14,2014-06-09,2014-05-30,2014-04-03,2013-03-04
OIG,Number of Days Pending,237,267,276,293,294,306,330,336,376,649
OLMS,Date of Receipt,,,,,2015-07-28,2015-06-30,2015-06-15,2015-04-13,2015-01-15,2014-05-15
OLMS,Number of Days Pending,,,,,46,64,76,118,177,346
OPA,Date of Receipt,,,,,,,2015-08-26,2013-02-12,2013-02-11,2012-04-27
OPA,Number of Days Pending,,,,,,,21,688,692,852
OSEC,Date of Receipt,2015-09-16,2015-09-14,2015-09-02,2015-08-27,2015-08-27,2015-08-20,2015-07-29,2015-07-21,2015-06-10,2015-02-06
OSEC,Number of Days Pending,11,13,14,24,24,29,45,51,79,80
OSHA,Date of Receipt,2014-09-14,2014-07-29,2014-06-24,2014-06-02,2014-05-22,2014-04-22,2013-09-11,2012-04-04,2010-08-13,2010-08-13
OSHA,Number of Days Pending,240,292,293,293,342,364,516,550,1291,1291
OWCP,Date of Receipt,2014-10-01,2014-10-01,2014-07-14,2014-06-03,2014-02-10,2014-01-28,2014-01-28,2013-03-13,2013-01-15,2012-04-16
OWCP,Number of Days Pending,228,250,251,326,327,328,328,330,400,450
SOL,Date of Receipt,,,,2015-08-24,2015-08-05,2015-05-04,2015-02-19,2015-02-06,2014-08-18,2014-02-10
SOL,Number of Days Pending,,,,25,40,102,148,150,279,405
VETS,Date of Receipt,,,,,2015-09-29,2015-09-28,2015-09-27,2015-09-24,2015-09-15,2015-07-30
VETS,Number of Days Pending,,,,,2,3,3,5,11,40
WB,Date of Receipt,,,,,,,,,,2015-04-16
WB,Number of Days Pending,,,,,,,,,,115
WHD,Date of Receipt,2013-04-08,2013-01-28,2013-01-28,2012-05-07,2012-03-27,2012-03-11,2012-02-17,2012-01-11,2011-09-20,2010-08-19
WHD,Number of Days Pending,625,674,675,855,884,895,910,934,1000,1284
