Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319",Certain records pertaining to grand jury proceedings,"Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).",4,IG,4
5 U.S.C. App § 3 (IG Act),Names or employees who provide information or complaints to the Inspector General.,,1,OAL,11
5 U.S.C. App § 3 (IG Act),Names or employees who provide information or complaints to the Inspector General.,,1,VHA,11
5 U.S.C. App § 3 (IG Act),Names or employees who provide information or complaints to the Inspector General.,,9,IG,11
41 U.S.C. § 4702,Prohibits the release of contractor proposals submitted to an agency during the course of federal procurements of property or services.,"Hornbostel v. United States Department of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003)",2,CFM,67
41 U.S.C. § 4702,Prohibits the release of contractor proposals submitted to an agency during the course of federal procurements of property or services.,"Hornbostel v. United States Department of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003)",38,OAL,67
41 U.S.C. § 4702,Prohibits the release of contractor proposals submitted to an agency during the course of federal procurements of property or services.,"Hornbostel v. United States Department of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003)",5,OIT,67
41 U.S.C. § 4702,Prohibits the release of contractor proposals submitted to an agency during the course of federal procurements of property or services.,"Hornbostel v. United States Department of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003)",22,VHA,67
41 USC § 2102,Contractor bid or proposal infomration; source selection information,"Legal & Safety Employer Research, Inc. v. U.S. Dep't. of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001)",4,CFM,13
41 USC § 2102,Contractor bid or proposal infomration; source selection information,"Legal & Safety Employer Research, Inc. v. U.S. Dep't. of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001)",1,GC,13
41 USC § 2102,Contractor bid or proposal infomration; source selection information,"Legal & Safety Employer Research, Inc. v. U.S. Dep't. of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001)",1,OAL,13
41 USC § 2102,Contractor bid or proposal infomration; source selection information,"Legal & Safety Employer Research, Inc. v. U.S. Dep't. of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001)",7,VHA,13
38 U.S.C. § 5701,Records pertaining to any claim filed with the Department for names and addresses of present and former members of the Armed Forces and their dependents.,"Ashton v. VA, 1999 U.S. App. LEXIS 22957 (2d Cir. 1999)",2,OIT,123
38 U.S.C. § 5701,Records pertaining to any claim filed with the Department for names and addresses of present and former members of the Armed Forces and their dependents.,"Ashton v. VA, 1999 U.S. App. LEXIS 22957 (2d Cir. 1999)",1,OSDBU,123
38 U.S.C. § 5701,Records pertaining to any claim filed with the Department for names and addresses of present and former members of the Armed Forces and their dependents.,"Ashton v. VA, 1999 U.S. App. LEXIS 22957 (2d Cir. 1999)",2,VBA,123
38 U.S.C. § 5701,Records pertaining to any claim filed with the Department for names and addresses of present and former members of the Armed Forces and their dependents.,"Ashton v. VA, 1999 U.S. App. LEXIS 22957 (2d Cir. 1999)",87,VHA,123
38 U.S.C. § 5701,Records pertaining to any claim filed with the Department for names and addresses of present and former members of the Armed Forces and their dependents.,"Ashton v. VA, 1999 U.S. App. LEXIS 22957 (2d Cir. 1999)",31,IG,123
38 U.S.C. § 5705,Records created as part of a medical quality assurance program.,"Schulte & Sun-Sentinel Co. v. VA, No. 86-6251, slip op. at 3-4, 12 (S.D. Fla. Feb. 2, 1996)",2,OAL,71
38 U.S.C. § 5705,Records created as part of a medical quality assurance program.,"Schulte & Sun-Sentinel Co. v. VA, No. 86-6251, slip op. at 3-4, 12 (S.D. Fla. Feb. 2, 1996)",59,VHA,71
38 U.S.C. § 5705,Records created as part of a medical quality assurance program.,"Schulte & Sun-Sentinel Co. v. VA, No. 86-6251, slip op. at 3-4, 12 (S.D. Fla. Feb. 2, 1996)",10,OIT,71
38 U.S.C. § 7332,"Records of the identity, diagnosis, prognosis, or treatment of any patient or subject which are maintained in connection with the performance of any patient or subject which are maintained in connection with the performance of any program or activity relating to drug abuse, alcoholism, or alcohol abuse, infection with the human immunodeficiency virus (HIV) or sickle cell anemia.","Palmer v. Derwinski, No. 91-197, slip op. at 3-4 (E.D. Ky, June 10, 1992)",1,Admin,2369
38 U.S.C. § 7332,"Records of the identity, diagnosis, prognosis, or treatment of any patient or subject which are maintained in connection with the performance of any patient or subject which are maintained in connection with the performance of any program or activity relating to drug abuse, alcoholism, or alcohol abuse, infection with the human immunodeficiency virus (HIV) or sickle cell anemia.","Palmer v. Derwinski, No. 91-197, slip op. at 3-4 (E.D. Ky, June 10, 1992)",5,VBA,2369
38 U.S.C. § 7332,"Records of the identity, diagnosis, prognosis, or treatment of any patient or subject which are maintained in connection with the performance of any patient or subject which are maintained in connection with the performance of any program or activity relating to drug abuse, alcoholism, or alcohol abuse, infection with the human immunodeficiency virus (HIV) or sickle cell anemia.","Palmer v. Derwinski, No. 91-197, slip op. at 3-4 (E.D. Ky, June 10, 1992)",2363,VHA,2369
38 U.S.C. § 7451,Information collected in VA nurse and other health-care personnel wage surveys.,,1,OAL,2
