Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
ADJ BDS,0,0,0,0,
ALJ,0,0,0,0,
ASP,0,0,0,0,
BLS,0,2,2,0,
CFO,0,0,0,0,
EBSA,0,0,0,0,
ESA,0,0,0,0,
ETA,0,0,0,0,
ILAB,0,0,0,0,
JOB CORP,0,0,0,0,
MSHA,0,0,0,0,
OASAM,0,0,0,0,
OCIA,0,0,0,0,
ODEP,0,0,0,0,
OIG,1,4,5,0,
OPA,0,0,0,0,
OSBP,0,0,0,0,
OSHA,0,7,7,0,
SOL,0,0,0,0,
VETS,2,0,2,0,
WB,0,0,0,0,
Total,3,13,16,0,
