Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
ACF,0,1,1,0,
CMS,0,0,0,0,
OIG,0,12,12,0,
CDC,0,8,6,2,
FDA,0,15,15,0,
HRSA,0,0,0,0,
IHS,0,0,0,0,
NIH,0,14,14,0,
SAMHSA,0,0,0,0,
OS,0,19,17,2,
OASH,0,0,0,0,
ACL,0,0,0,0,
Total,0,69,65,4,
