Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
15 U.S.C. 638(k)(4),Company commercialization information,,1,HQ,1
41 U.S.C 253,"National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. cir. Aug 25, 2004).",1,BPA,8
41 U.S.C 253,"National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. cir. Aug 25, 2004).",1,CH,8
41 U.S.C 253,"National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. cir. Aug 25, 2004).",2,ID,8
41 U.S.C 253,"National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. cir. Aug 25, 2004).",2,WAPA,8
41 U.S.C 253,"National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. cir. Aug 25, 2004).",2,NNSA,8
41 U.S.C.A. 2102,"Procurement Integrity Act - Agency withheld contractor bid information, proposal information, or source selection informationProcurement Integrity Act - Agency withheld contractor bid information, proposal information, or source selection informationProcurement Integrity Act - Agency withheld contractor bid information, proposal information, or source selection informationProcurement Integrity Act - Agency withheld contractor bid information, proposal information, or source selection information","Legal and Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, At *3-4 (E.D. Cal. May 4, 2001) (dictum).",1,BPA,12
41 U.S.C.A. 2102,"Procurement Integrity Act - Agency withheld contractor bid information, proposal information, or source selection informationProcurement Integrity Act - Agency withheld contractor bid information, proposal information, or source selection informationProcurement Integrity Act - Agency withheld contractor bid information, proposal information, or source selection informationProcurement Integrity Act - Agency withheld contractor bid information, proposal information, or source selection information","Legal and Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, At *3-4 (E.D. Cal. May 4, 2001) (dictum).",8,HQ,12
41 U.S.C.A. 2102,"Procurement Integrity Act - Agency withheld contractor bid information, proposal information, or source selection informationProcurement Integrity Act - Agency withheld contractor bid information, proposal information, or source selection informationProcurement Integrity Act - Agency withheld contractor bid information, proposal information, or source selection informationProcurement Integrity Act - Agency withheld contractor bid information, proposal information, or source selection information","Legal and Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, At *3-4 (E.D. Cal. May 4, 2001) (dictum).",2,ID,12
41 U.S.C.A. 2102,"Procurement Integrity Act - Agency withheld contractor bid information, proposal information, or source selection informationProcurement Integrity Act - Agency withheld contractor bid information, proposal information, or source selection informationProcurement Integrity Act - Agency withheld contractor bid information, proposal information, or source selection informationProcurement Integrity Act - Agency withheld contractor bid information, proposal information, or source selection information","Legal and Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, At *3-4 (E.D. Cal. May 4, 2001) (dictum).",1,SWPA,12
