Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
HQ,510,111,255.19,13,308,354.92,1,446,446,
Region 1,15,8,265.87,3,376,396.33,0,0,0,
Region 2,313,19,55.51,4,8,73,0,0,0,
Region 3,151,14,13.67,24,26,45.79,0,0,0,
Region 4,43,6,7.77,7,17,22.29,0,0,0,
Region 5,115,9,11.75,6,42.5,53,1,100,100,
Region 6,170,40,86.78,11,320,339.82,0,0,0,
Region 7,42,5.5,86.9,1,519,519,0,0,0,
Region 8,20,10,13.4,2,188.5,188.5,0,0,0,
Region 9,43,9,9.95,6,56,138.17,0,0,0,
Region 10,56,28.5,86.14,7,86,237.43,0,0,0,
Total,1478,23,121,84,66,176,2,273,273,
