Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
BPA,82,133,80,106,
CBFO,13,0,14,0,
CH,76,63,72,66,
EMCBC,45,69,44,60,
GFO,256,269,268,253,
HQ,909,803,940,866,
ID,39,36,40,38,
NETL,47,27,50,29,
NNSA,321,267,291,233,
NR,0,0,0,0,
NRLFO,6,7,7,8,
ORO,255,212,248,207,
OSTI,13,8,13,6,
ROO,95,100,94,95,
SEPA,6,5,6,5,
SPR,6,3,6,2,
SRO,41,42,41,42,
SWPA,7,10,10,7,
WAPA,35,24,34,23,
Total,2252,2078,2258,2046,
