Component,Number of Backlogged Requests as of End of Fiscal Year from Previous Annual Report,Nnumber of Backlogged Requests as of End of Fiscal Year from Current Annual Report,
FSA,22,45,
IES,0,1,
IES-NAGB,0,0,
M,32,47,
OCFO,0,0,
OCFO-CAM,5,4,
OCIO,0,1,
OCO,0,0,
OCR,2,7,
OCR-1 Boston,3,0,
OCR-2 New York,8,32,
OCR-3 Philadelphia,1,1,
OCR-4 Atlanta,4,12,
OCR-5 Chicago,0,0,
OCR-6 Dallas,0,1,
OCR-7 Kansas City,3,9,
OCR-8 Denver,0,0,
OCR-9 San Francisco,0,0,
OCR-10 Seattle,0,0,
OCR-12 Cleveland,1,2,
OCR-Metro D.C.,6,8,
ODS,0,2,
OELA,0,0,
OESE,2,0,
OGC,0,1,
OIG,3,2,
OII,4,0,
OLCA,0,1,
OM,1,1,
OM-PIRMS,13,20,
OPE,1,5,
OPEPD,0,1,
OS,17,20,
OSDFS,0,0,
OSERS,0,0,
OUS,1,1,
OVAE,0,0,
Total,129,224,
