Component,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS PROCESSED,NUMBER OF APPEALS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
AF,200,256,184,210,
ARMY,147,164,195,154,
ASBCA,0,0,0,0,
DCAA,5,4,5,4,
DCMA,3,5,3,2,
DeCA,2,0,2,0,
DFAS,3,2,2,3,
DIA,42,50,14,57,
DISA,3,2,1,0,
DLA,16,11,14,17,
DoDIG,16,29,10,26,
DSS,2,0,2,0,
DTRA,3,2,3,2,
NAVY,282,327,307,327,
NGA,4,6,0,11,
NRO,5,3,2,6,
NSA,74,77,59,56,
OSD/JS,154,169,222,148,
Total,961,1107,1025,1023,
