Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
FSIP,1,8.89,,45,,,,,,,,,
Authority,11,12,,49,38,37.33,18,56,,,,,
IG,18,18,3,33,,,,,,,,,
OGC,35.5,35.5,20,51,,,,,,,,,
ATRO,9.5,10,4,17,,,,,,,,,
BORO,3,3,3,3,,,,,,,,,
CHRO,10,10,10,10,,,,,,,,,
DARO,16,16,14,18,,,,,,,,,
DERO,1,1,,,,,,,,,,,
SFRO,3.5,4.17,,8,,,,,,,,,
Total,9,11,0,51,38,37,18,56,0,0,0,0,
