Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
BIS,60,67,60,58,
Census,222,194,225,196,
EDA,28,64,31,64,
ESA,6,9,6,9,
ITA,124,111,126,111,
MBDA,7,28,7,28,
NIST,121,180,116,176,
NOAA,560,605,668,576,
NTIA,34,6,34,7,
NTIS,16,15,15,16,
OIG,48,46,46,46,
OS,243,227,229,223,
PTO,381,384,384,375,
Total,1850,1936,1947,1885,
