Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Transferred to another DOT component,9,9
OS,Publicly Available Information,12,12
BIS,Publicly Available Information,1,1
Census,Requester Received Documents Outside of FOIA,1,27
Census,Appeal - Processed at DOC,1,27
Census,Publicly Available Information,25,27
NIST,Appeal - Processed at DOC,1,1
NOAA,Publicly Available Information,10,12
NOAA,Released through litigation,1,12
NOAA,Appeal - Processed at DOC,1,12
NTIS,Statute Based Fee Authority,1,1
PTO,"For some request processed under both the FOIA and the Privacy Act, the requester failed to provide proof of identification and the request was administratively closed.",3,3
OIG,Unable to locate requester,2,2
OIG,Assigned to other bureau/office for response,1,17
OIG,Requester did not respond to the bureau's communications/unable to locate requester,5,17
OIG,Requester failed to provide written consent of subject individual,1,17
OIG,Requester failed to provide requested clarification,5,17
OIG,Request administratively closed,5,17
OS,Requester failed to provide requested clarification,1,62
OS,Human Error,7,62
OS,Directed requester to another agency or entity,3,62
OS,Requester did not respond to the bureau's communications/unable to locate requester,3,62
OS,Request administratively closed,14,62
OS,Assigned to other bureau/office for response,20,62
OS,Records available online,14,62
OIG,Records referred not related or indexed to requester,2,2
OIG,N/A,0,0
OS,N/A,0,0
OIG,In Litigation,1,21
OIG,Administrative Closure- Based on response/non-response to continued interest correspondence,20,21
OS,Referred to website,1,22
OS,Administrative Closure- Based on response/non-response to continued interest correspondence,18,22
OS,Litigation,3,22
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Not applicable.,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,In Litigation,1,1
OIG,N/A,0,0
OIG,N/A,0,0
Total,0,193,776
