Component,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS PROCESSED,NUMBER OF APPEALS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
HQ,30,14,30,4,
OIG,0,6,0,5,
R01,0,0,0,0,
R02,2,1,3,1,
R03,4,2,0,2,
R04,0,0,0,0,
R05,1,1,2,1,
R06,2,3,2,3,
R07,0,0,0,0,
R08,1,1,2,1,
R09,1,1,2,1,
R0X,0,0,0,0,
Total,41,29,41,18,
