Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
FAA,12,17,,1491,29,51,,1074,15,42,,445,
FHWA,15,25,,574,6,27,,261,15,21,,101,
FMCSA,51,48,,158,57,59,,299,15,42,3,130,
FRA,,,,,31,51,1,524,7,7,7,7,
FTA,20,23,,214,,,,,,,,,
MARAD,23.5,127.9,1,965,129.5,129.5,100,159,,,,,
NHTSA,18,20,1,289,43,102,1,310,,,,,
OIG,26,40,,132,122,106,12,210,,,,,
OST,5,9,,138,28,73,1,910,,,,,
PHMSA,6,19,,162,11,51,,639,16,132,1,601,
RITA,7,9,2,22,20,20,20,20,9,9,,24,
SLSDC,12,14,9,26,,,,,,,,,
Total,14,25,0,1491,34,56,0,1074,15,56,0,601,
