Component,Number of Backlogged Requests as of End of Fiscal Year from Previous Annual Report,Nnumber of Backlogged Requests as of End of Fiscal Year from Current Annual Report,
Office of the AG,0,90,
Office of the DAG,0,61,
Office of the Assoc. AG,0,9,
Antitrust,0,27,
ATF,0,29,
BOP,0,401,
Civil,0,10,
Civil Rights,0,48,
COPS,0,0,
Criminal,0,231,
CRS,0,0,
DEA,0,768,
ENRD,0,9,
EOIR,0,176,
EOUSA,0,1160,
EOUST,0,26,
FBI,0,1001,
FCSC,0,0,
JMD,0,23,
NDIC,0,0,
NSD,0,49,
ODR,0,0,
OFDT,0,2,
OIG,0,13,
OIP,0,14,
OIPL,0,3,
OJP,0,22,
OLA,0,36,
OLC,0,17,
OLP,0,16,
OPR,0,11,
OSG,0,0,
OVW,0,0,
Pardon Attorney,0,8,
Public Affairs,0,7,
PRAO,0,0,
TAX,0,1,
USMS,0,3,
USNCB,0,0,
USPC,0,93,
Total,0,4364,
