Component,Number of 'Full Time FOIA Employees',Number of 'Equivalent Full-Time FOIA Employees',Total Number of 'Full-Time FOIA Staff',
ADJ BDS,0,0.45,0.45,
ALJ,1,0,1,
ASP,0,0.5,0.5,
BLS,0,4,4,
CFO,0,0.3,0.3,
EBSA,0,3.151,3.151,
ETA,5,9.1,14.1,
EXEC SEC,0,0.25,0.25,
ILAB,0,0.1,0.1,
MSHA,5,18.78,23.78,
OASAM,0,5.64,5.64,
OCIA,0,0.9,0.9,
ODEP,0,0.05,0.05,
OFCCP,0,5.85,5.85,
OIG,1,0,1,
OLMS,0,1,1,
OPA,0,0.5,0.5,
OSEC,0,0.35,0.35,
OSHA,2,60.9,62.9,
OWCP,2,2.95,4.95,
SOL,12,3.19,15.19,
VETS,1,1.73,2.73,
WB,0,0.25,0.25,
WHD,12,2,14,
Total,41,122,163,
