Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
AMS,Date of Receipt,2010-09-15,2010-09-08,2010-08-31,2010-08-26,2010-08-26,2009-07-14,2009-07-09,2009-05-11,2009-05-11,2009-05-06
AMS,Number of Days Pending,11,16,22,25,25,308,311,355,355,358
APHIS,Date of Receipt,2007-10-29,2007-10-15,2007-09-19,2007-08-07,2007-05-22,2007-05-17,2007-04-03,2007-02-07,2006-12-06,2006-10-16
APHIS,Number of Days Pending,764,774,792,823,878,881,913,952,997,1034
DM,Date of Receipt,,,,,2010-08-09,2010-08-02,2010-07-26,2010-07-15,2010-07-01,2010-06-02
DM,Number of Days Pending,,,,,39,44,49,56,65,86
FAS,Date of Receipt,,,,,,,2010-09-29,2010-09-29,2010-09-27,2010-09-27
FAS,Number of Days Pending,,,,,,,1,1,3,3
FNCS,Date of Receipt,2010-09-18,2010-09-02,2010-08-09,2010-08-05,2010-06-24,2010-06-24,2010-06-09,2010-05-10,2010-03-11,2010-02-19
FNCS,Number of Days Pending,16,21,38,40,70,70,81,102,144,158
FS,Date of Receipt,2009-01-15,2009-01-08,2008-12-16,2008-12-02,2008-12-02,2008-12-02,2008-11-03,2008-10-13,2008-10-10,2008-10-01
FS,Number of Days Pending,423,428,445,456,456,456,478,493,494,501
FSA,Date of Receipt,2010-07-16,2010-07-11,2010-04-28,2010-04-05,2010-02-26,2010-02-22,2010-02-16,2010-02-09,2010-02-08,2010-01-12
FSA,Number of Days Pending,54,58,109,126,152,156,160,164,165,183
FSIS,Date of Receipt,2008-03-05,2008-03-03,2008-02-28,2008-02-27,2008-02-15,2008-02-12,2008-02-05,2008-01-07,2008-01-03,2008-01-03
FSIS,Number of Days Pending,689,691,693,694,701,704,709,729,731,731
GIPSA,Date of Receipt,,,,,,,2010-08-26,2010-08-23,2010-08-18,2010-08-02
GIPSA,Number of Days Pending,,,,,,,22,27,30,42
NRCS,Date of Receipt,,,,,,,2010-09-30,2010-09-28,2010-09-27,2010-09-23
NRCS,Number of Days Pending,,,,,,,1,2,3,4
OGC,Date of Receipt,2010-09-28,2010-09-28,2010-09-21,2010-07-26,2010-03-25,2009-11-24,2009-02-06,2008-11-12,2008-03-05,2007-08-16
OGC,Number of Days Pending,2,2,7,47,132,213,435,471,583,732
OIG,Date of Receipt,,,2010-09-28,2010-09-24,2010-09-13,2010-08-24,2010-08-24,2010-08-17,2010-08-17,2010-02-02
OIG,Number of Days Pending,,,3,5,14,28,28,33,33,171
OSEC,Date of Receipt,2010-06-08,2010-06-08,2010-05-18,2010-04-21,2010-04-21,2010-03-29,2010-03-10,2010-03-10,2010-02-26,2010-02-23
OSEC,Number of Days Pending,83,83,98,117,117,131,144,144,153,155
RD,Date of Receipt,,,,,,,,,,2010-08-30
RD,Number of Days Pending,,,,,,,,,,22
REE,Date of Receipt,2010-09-28,2010-09-24,2010-09-23,2010-09-20,2010-09-17,2010-09-17,2010-09-08,2010-09-08,2010-09-07,2010-09-07
REE,Number of Days Pending,2,4,5,8,9,9,16,16,17,17
RMA,Date of Receipt,,,,,2010-09-27,2010-09-07,2010-09-06,2010-09-02,2010-08-27,2010-02-28
RMA,Number of Days Pending,,,,,4,18,19,21,25,151
