Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OIG,Request referred to another DOT component,5,5
OGC,0,0,0
OIG,Referrals,2,3
OIG,Not a proper FOIA request for some other reason,1,3
OIG,Verification of Identity Not Provided,2,4
OIG,Request Misdirected,2,4
OIG,Defer to other Agency recommendation,1,6
OIG,Unable to locate requester,2,6
OIG,Records Publicly Available,1,6
OIG,Coordinated by Another Office,1,6
OIG,Nonresponsive to Requests for Additional Information,1,6
OGC,Litigation,4,4
OIG,N/A,0,0
OIG,Records located were not responsive to the request.,2,2
OIG,Administratively Closed,5,22
OIG,Enjoined from Release by Court Order,2,22
OIG,Records on OIG Website,8,22
OIG,No Response from Requestor,7,22
OGC,0,0,0
OIG,0,0,0
OIG,Glomarization,2,6
OIG,No authorization to release records,4,6
OGC,Requester left no forwarding address,1,1
OIG,Clarification and no longer interest,3,3
OGC,too broad.,1,7
OGC,unable to locate records.,4,7
OGC,records retired to NARA,1,7
OGC,records previously provided under case 10-226F,1,7
OIG,N/A,0,0
Total,0,63,187
