Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Opened in Error,8,8
HQ,N/A,0,0
IG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Unable to locate requester,2,5
OIG,Opened in Error,3,5
OIG,Requester failed to provide requested clarification,4,8
OIG,Publicly Available Information,1,8
OIG,Request administratively closed,2,8
OIG,Assigned to other bureau/office for response,1,8
OIG,N/A,0,0
OIG,N/A,0,0
HQ,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
HQ,Request Opened in Error,240,241
HQ,Litigation,1,241
R01,Request Opened in Error,3,3
R02,Request Opened in Error,3,3
R03,Request Opened in Error,6,6
R04,Request Opened in Error,3,3
R05,Request Opened in Error,1,1
R06,Request Opened in Error,4,4
R07,Request Opened in Error,4,4
R08,Request Opened in Error,6,6
R09,Request Opened in Error,7,7
R0X,Request Opened in Error,1,1
OIG,Request Opened in Error,8,8
HQ,Publicly Available Information,10,10
HQ,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
Total,0,318,588
