Component,Description,No. of Times Used,Total
IG,N/A,0,0
Admin,N/A,0,0
BVA,N/A,0,0
C&LA,N/A,0,0
CFM,N/A,0,0
GC,Requestor died before request was completed,1,1
HRM,N/A,0,0
IG,N/A,0,0
NCA,N/A,0,0
OAL,N/A,0,0
OASP&IA,N/A,0,0
ODASB,N/A,0,0
ODASIA,N/A,0,0
ODI,N/A,0,0
OF,N/A,0,0
Mgmt,N/A,0,0
ORM,N/A,0,0
OSDBU,N/A,0,0
OSP,N/A,0,0
P&P,N/A,0,0
PA,N/A,0,0
SEC,N/A,0,0
VBA,Glomar response,1,1
VHA,Subsumed by litigation,2,16
VHA,Glomar response,4,16
VHA,Requestor died before request was completed,10,16
MGMT,Records Publicly Available,2,2
SEC,Referred to the web,120,358
SEC,Cancelled,51,358
SEC,Records lost of destroyed,187,358
OASHRA,N/A,0,0
OIT,N/A,0,0
Total,0,378,1126
