Component,Number Affirmed on Appeal,Number Partially Affirmed & Partially Reserved/Remanded on Appeal,Number Completely Reserved/Remanded on Appeal,Number of Appeals Closed for Other Reasons,Total,
AF,26,30,18,110,184,
AFRICOM,0,0,0,0,0,
ARMY,96,20,21,58,195,
ASBCA,0,0,0,0,0,
CENTCOM,0,0,0,0,0,
DCAA,3,0,0,2,5,
DCMA,1,1,0,1,3,
DeCA,2,0,0,0,2,
DFAS,1,1,0,0,2,
DIA,0,0,0,14,14,
DISA,1,0,0,0,1,
DLA,1,5,2,6,14,
DoDEA,0,0,0,0,0,
DoDIG,6,1,1,2,10,
DSS,0,0,0,2,2,
DTIC,0,0,0,0,0,
DTRA,1,0,0,2,3,
EUCOM,0,0,0,0,0,
JFCOM,0,0,0,0,0,
NAVY,38,39,101,129,307,
NGA,0,0,0,0,0,
NGB,0,0,0,0,0,
NORTHCOM,0,0,0,0,0,
NRO,2,0,0,0,2,
NSA,35,5,3,16,59,
OSD/JS,11,48,22,141,222,
PACOM,0,0,0,0,0,
SOCOM,0,0,0,0,0,
SOUTHCOM,0,0,0,0,0,
STRATCOM,0,0,0,0,0,
TRANSCOM,0,0,0,0,0,
TRICARE,0,0,0,0,0,
Total,224,150,168,483,1025,
