Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
AMS,40,13,8,2,2,2,2,2,1,2,4,3,3,84,
APHIS,1,3,1,0,1,2,1,0,0,1,0,1,3,14,
ASCR,1,0,0,0,0,0,1,0,0,0,0,0,0,2,
FAS,3,4,2,1,1,0,0,0,0,0,0,0,0,11,
FNCS,2,1,1,1,0,0,0,0,0,0,0,0,0,5,
FS,176,109,64,36,21,9,6,11,4,2,6,4,6,454,
FSA,382,58,9,3,5,1,1,2,0,0,0,0,0,461,
FSIS,0,0,0,0,0,0,0,0,0,0,0,1,29,30,
GIPSA,8,5,0,0,0,0,0,0,0,0,0,0,0,13,
NAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NRCS,16,9,7,6,2,4,1,1,2,1,2,5,6,62,
OBPA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
OCFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,0,0,4,4,5,9,2,2,4,3,3,6,8,50,
OSEC/OCIO/DM,16,15,8,5,7,9,2,3,3,0,10,1,14,93,
RD,4,4,5,2,1,1,3,2,2,2,2,3,26,57,
REE,51,26,2,0,0,0,0,0,0,0,0,0,0,79,
RMA,5,0,0,0,0,1,0,1,0,1,0,0,0,8,
Total,705,247,112,60,45,38,19,24,16,12,27,24,95,1424,
