Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
ACF,53,13,7,10,2,1,7,22,7,2,4,5,17,150,
CMS,4203,2958,507,281,198,163,111,124,124,105,432,382,421,10009,
OIG,212,156,32,18,11,9,5,1,2,1,1,0,0,448,
CDC,211,39,16,15,11,13,8,6,7,3,21,12,75,437,
FDA,975,431,225,132,132,79,62,160,76,141,481,316,525,3735,
HRSA,186,96,13,15,10,10,13,5,9,2,15,16,9,399,
IHS,0,0,0,6,20,10,2,6,6,2,7,0,0,59,
NIH,62,70,36,30,14,6,5,6,4,5,10,3,1,252,
SAMHSA,13,20,13,12,4,5,5,2,0,3,8,2,6,93,
OS,0,43,50,48,26,24,27,16,15,8,56,31,62,406,
OASH,0,1,94,35,26,12,4,4,10,4,9,6,0,205,
ACL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,5915,3827,993,602,454,332,249,352,260,276,1044,773,1116,16193,
