Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
Office of the AG,3,0,0,0,0,0,1,2,0,0,1,3,11,21,
Office of the DAG,1,0,0,0,0,0,0,1,0,0,1,3,7,13,
Office of the Assoc. AG,0,0,0,0,1,0,0,0,0,0,0,1,0,2,
Antitrust,2,4,2,1,1,0,0,1,1,0,2,2,11,27,
ATF,1056,222,62,21,14,11,10,10,13,2,15,2,0,1438,
BOP,514,201,153,119,101,79,50,40,39,18,59,45,0,1418,
Civil,201,54,27,17,2,1,2,0,2,2,3,4,1,316,
Civil Rights,2,0,7,12,7,5,14,4,5,3,16,9,18,102,
COPS,73,0,0,0,0,0,0,0,0,0,0,0,0,73,
Criminal,118,142,83,49,29,22,20,16,10,14,32,15,6,556,
CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DEA,133,204,187,113,119,85,82,66,40,30,43,45,75,1222,
ENRD,55,20,11,1,0,2,1,0,1,0,2,0,0,93,
EOIR,171,132,6,2,1,0,0,0,0,0,0,0,0,312,
EOUSA,679,515,323,306,227,194,128,83,54,47,143,83,242,3024,
EOUST,10,7,4,3,2,0,0,1,1,0,0,0,2,30,
FBI,11,24,59,78,79,77,77,58,70,52,195,133,149,1062,
FCSC,15,1,1,2,0,0,0,0,0,0,0,0,0,19,
JMD,13,16,8,14,16,7,2,2,1,2,3,3,2,89,
NDIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSD,16,23,20,10,10,14,4,11,3,6,41,19,16,193,
OCDETF,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
ODR,4,4,1,0,0,0,0,0,0,0,0,0,0,9,
OFDT,2,0,0,1,1,1,1,1,1,0,0,0,0,8,
OIG,0,22,5,4,2,4,1,0,0,0,1,1,3,43,
OIP,0,1,0,0,0,0,0,1,1,0,0,0,0,3,
OIPL,0,1,0,0,0,0,0,0,0,0,0,1,1,3,
OJP,14,30,32,19,21,4,5,3,2,0,4,1,7,142,
OLA,1,0,0,1,0,1,0,0,0,1,9,3,6,22,
OLC,1,0,2,1,1,0,0,1,0,1,3,2,0,12,
OLP,0,0,0,0,0,0,0,0,0,0,1,1,1,3,
OPR,5,2,1,2,0,0,1,0,0,1,0,2,6,20,
OSG,23,7,3,3,0,3,2,6,1,2,1,2,2,55,
OVW,1,3,0,0,0,0,0,0,0,0,0,0,0,4,
Pardon Attorney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Public Affairs,0,0,0,0,0,0,0,0,0,0,1,1,0,2,
PRAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TAX,3,1,5,2,1,3,3,2,0,1,2,1,0,24,
USMS,5,4,2,0,0,0,0,0,0,0,0,0,0,11,
USNCB,4,2,2,0,1,2,2,0,0,0,1,0,0,14,
USPC,61,12,6,7,5,7,3,1,3,4,31,13,0,153,
Total,3197,1654,1012,789,641,522,409,310,248,186,610,395,566,10539,
