Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
AMS,7,23,23,4,5,4,2,1,3,0,0,0,0,72,
APHIS,7,8,6,9,10,8,4,2,3,10,13,12,31,123,
ASCR,4,0,0,0,0,0,0,0,0,0,0,0,0,4,
FAS,0,1,0,3,0,0,0,0,0,1,0,0,0,5,
FNCS,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
FS,116,89,61,43,31,9,17,4,3,4,11,1,2,391,
FSA,492,44,10,4,4,3,3,1,3,0,3,2,3,572,
FSIS,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
GIPSA,14,3,6,0,0,0,0,0,0,0,0,0,0,23,
NAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NRCS,24,16,7,6,0,0,0,1,0,0,0,0,2,56,
OBPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,0,0,1,1,2,2,1,4,3,1,7,1,7,30,
OSEC/OCIO/DM,16,15,3,7,2,2,3,1,0,1,2,2,5,59,
RD,14,15,7,2,3,2,2,2,1,2,8,6,73,137,
REE,54,20,3,1,0,0,0,0,0,0,0,0,0,78,
RMA,24,0,4,0,0,1,0,1,1,0,2,2,2,37,
Total,772,235,131,80,57,31,32,17,17,19,46,27,125,1589,
