Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Numberof Times Relied upon per Component,Total Number of Times Relied upon by Agency
"7 USC §608(d)(2)","Information for marketing order programs that are categorized as trade secrets and commericial or financial information.","N/A","10","AMS","10"
"7 USC §1502(c)","Personal information in connection with policy holders and/or yield data.<br/>Personal information in connection with policy holders and/or yield data.","N/A","1","FSA","24"
"7 USC §1502(c)","Personal information in connection with policy holders and/or yield data.<br/>Personal information in connection with policy holders and/or yield data.","N/A","23","RMA","24"
"7 USC §2018(c)","Information obtained pursuant to chapter 51 of title 7 of the United States Code, which concerns the handling of information submitted by applicants to the Supplemental Nutrition Assistance Program.","Argus Leader Media v. U.S. Dep't of Agriculture, 740 F.3d 1172, 1175-76 (8th Cir. 2014).","202","FNCS","202"
"7 USC §2276(a)(2)","Information furnished under a provision of law referred to in subsection (d) of this section?unless such information has been transformed into a statistical or aggregate form that that does not allow the identification of the person who supplied particular information.<br/>Information furnished under a provision of law referred to in subsection (d) of this section?unless such information has been transformed into a statistical or aggregate form that that does not allow the identification of the person who supplied particula<br/>Information furnished under a provision of law referred to in subsection (d) of this section?unless such information has been transformed into a statistical or aggregate form that that does not allow the identification of the person who supplied particula","Strunk v. U.S. Dep't of Interior, 752 F. Supp. 2d, 39, 44 (D.D.C 2010).","1","AMS","4"
"7 USC §2276(a)(2)","Information furnished under a provision of law referred to in subsection (d) of this section?unless such information has been transformed into a statistical or aggregate form that that does not allow the identification of the person who supplied particular information.<br/>Information furnished under a provision of law referred to in subsection (d) of this section?unless such information has been transformed into a statistical or aggregate form that that does not allow the identification of the person who supplied particula<br/>Information furnished under a provision of law referred to in subsection (d) of this section?unless such information has been transformed into a statistical or aggregate form that that does not allow the identification of the person who supplied particula","Strunk v. U.S. Dep't of Interior, 752 F. Supp. 2d, 39, 44 (D.D.C 2010).","1","REE","4"
"7 USC §2276(a)(2)","Information furnished under a provision of law referred to in subsection (d) of this section?unless such information has been transformed into a statistical or aggregate form that that does not allow the identification of the person who supplied particular information.<br/>Information furnished under a provision of law referred to in subsection (d) of this section?unless such information has been transformed into a statistical or aggregate form that that does not allow the identification of the person who supplied particula<br/>Information furnished under a provision of law referred to in subsection (d) of this section?unless such information has been transformed into a statistical or aggregate form that that does not allow the identification of the person who supplied particula","Strunk v. U.S. Dep't of Interior, 752 F. Supp. 2d, 39, 44 (D.D.C 2010).","2","FSA","4"
"7 USC §8791","Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain geospatial information....maintained by the Secretary.<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain geospatial information...maintained by the Secretary.<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain geospatial information...maintained by the Secretary.<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain geospatial information...maintained by the Secretary.","Ctr. for Biological Diversity v. USDA, 626 F3d. 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C.C 2009).","22","APHIS","213"
"7 USC §8791","Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain geospatial information....maintained by the Secretary.<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain geospatial information...maintained by the Secretary.<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain geospatial information...maintained by the Secretary.<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain geospatial information...maintained by the Secretary.","Ctr. for Biological Diversity v. USDA, 626 F3d. 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C.C 2009).","141","FSA","213"
