Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
ACF,0,0,0,81,0,0,0,0,0,0,0,0,0,81,2008
AOA,14,0,0,0,0,0,0,0,0,0,0,0,0,14,2008
CMS,30484,4428,2449,1125,466,242,126,91,116,57,189,15,16,39804,2008
OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
OPHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
AHRQ,42,20,0,0,0,0,0,0,0,0,0,0,0,62,2008
CDC,440,12,3,6,4,7,4,2,1,3,5,2,0,489,2008
FDA,106,77,118,65,92,168,151,194,111,223,317,480,5357,7459,2008
HRSA,237,52,8,4,1,0,0,0,0,0,1,0,0,303,2008
IHS,20,5,6,6,0,0,3,0,0,2,0,0,0,42,2008
NIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
SAMHSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,31343,4594,2584,1287,563,417,284,287,228,285,512,497,5373,48254,2008
ACF,52,11,5,0,4,5,1,0,2,3,16,32,2,133,2009
AOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
CMS,27310,2371,681,323,165,145,76,34,35,49,45,50,35,31319,2009
OIG,329,3,0,0,0,0,0,0,0,0,0,0,0,332,2009
OPHS,272,64,34,26,12,14,10,11,13,9,56,28,36,585,2009
AHRQ,46,22,0,0,0,0,0,0,0,0,0,0,0,68,2009
CDC,103,40,7,6,4,4,3,0,0,0,0,2,8,177,2009
FDA,397,434,395,600,521,447,406,520,444,312,1578,312,1015,7381,2009
HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
IHS,55,10,12,3,0,0,0,3,0,0,0,0,0,83,2009
NIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
SAMHSA,10,18,10,200,0,0,0,0,0,0,0,0,0,238,OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,28574,2973,1144,1158,706,615,496,568,494,373,1695,424,1096,40316,2009
ACF,990,26,29,25,27,26,17,6,12,17,86,36,225,1522,2010
AOA,27,0,0,0,0,0,0,0,0,0,0,0,0,27,2010
CMS,28679,3087,1538,1053,937,714,568,492,377,283,1256,440,118,39542,2010
OIG,483,1,0,0,0,0,0,0,0,0,0,0,0,484,2010
AHRQ,1,25,9,1,0,0,0,1,0,0,0,0,0,37,2010
CDC,4,27,9,7,0,1,0,0,0,1,0,0,5,54,2010
FDA,4210,689,263,164,110,108,70,74,53,39,109,121,234,6244,2010
HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
IHS,12,6,7,2,3,2,3,4,9,0,0,0,0,48,2010
NIH,721,269,78,37,27,17,12,8,3,3,9,2,5,1191,2010
SAMHSA,17,6,0,0,0,0,0,0,0,0,0,0,0,23,OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
