Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
DoS,33,232,282,110,67,68,30,41,22,29,79,49,42,1084,2008
OIG,15,4,0,3,1,0,1,1,1,0,0,0,0,26,2008
Total,48,236,282,113,68,68,31,42,23,29,79,49,42,1110,2008
DoS,25,222,301,395,481,518,136,29,15,10,42,24,60,2258,2009
OIG,20,14,5,1,1,1,0,1,0,0,5,0,2,50,2009
Total,45,236,306,396,482,519,136,30,15,10,47,24,62,2308,2009
DoS,104,723,659,724,690,1106,1086,918,532,956,2741,19,50,10308,2010
OIG,15,7,1,0,0,0,0,0,0,0,0,0,0,23,2010
Total,119,730,660,724,690,1106,1086,918,532,956,2741,19,50,10331,2010
DoS,1338,976,601,751,577,2337,1456,1304,1023,1212,5250,341,124,17290,2011
OIG,18,11,5,0,0,0,0,0,0,0,0,0,0,34,2011
Total,1356,987,606,751,577,2337,1456,1304,1023,1212,5250,341,124,17324,2011
DoS,11,138,1521,2939,424,176,164,112,44,30,118,60,102,5839,2012
OIG,29,7,2,1,0,0,0,0,0,0,0,0,0,39,2012
Total,40,145,1523,2940,424,176,164,112,44,30,118,60,102,5878,2012
DoS,1101,1000,1961,2157,1290,1640,1495,1040,371,261,1037,156,135,13644,2013
OIG,52,22,2,1,1,0,1,0,0,0,0,0,0,79,2013
Total,1153,1022,1963,2158,1291,1640,1496,1040,371,261,1037,156,135,13723,2013
DoS,746,2303,2101,2156,1431,1057,376,312,241,186,492,171,226,11798,2014
OIG,42,17,3,1,0,1,0,0,0,0,0,0,0,64,2014
Total,788,2320,2104,2157,1431,1058,376,312,241,186,492,171,226,11862,2014
DoS,12,227,1616,1819,2009,545,186,353,426,275,546,75,193,8282,2015
OIG,59,19,4,4,2,0,1,0,0,0,0,0,0,89,2015
Total,71,246,1620,1823,2011,545,187,353,426,275,546,75,193,8371,2015
