Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
NARA,11880,513,139,42,16,6,5,5,3,2,10,11,152,12784,2008
Total,11880,513,139,42,16,6,5,5,3,2,10,11,152,12784,2008
NARA,15595,741,321,174,67,41,27,38,11,9,2,8,44,17078,2009
Total,15595,741,321,174,67,41,27,38,11,9,2,8,44,17078,2009
NARA,13560,633,277,118,58,43,28,16,9,6,10,21,203,14982,2010
Total,13560,633,277,118,58,43,28,16,9,6,10,21,203,14982,2010
NARA,15590,543,150,54,29,17,16,13,9,7,17,13,111,16569,2011
Total,15590,543,150,54,29,17,16,13,9,7,17,13,111,16569,2011
NARA,10676,650,235,39,20,15,9,4,6,7,12,10,425,12108,2012
Total,10676,650,235,39,20,15,9,4,6,7,12,10,425,12108,2012
NARA,9480,616,341,197,77,42,31,13,6,9,49,38,277,11176,2013
Total,9480,616,341,197,77,42,31,13,6,9,49,38,277,11176,2013
NARA,16446,903,337,149,78,59,40,17,13,45,79,8,172,18346,2014
Total,16446,903,337,149,78,59,40,17,13,45,79,8,172,18346,2014
NARA,16890,3126,529,485,593,99,29,22,9,13,94,98,257,22244,2015
Total,16890,3126,529,485,593,99,29,22,9,13,94,98,257,22244,2015
