Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
SSA,29283,2290,824,129,0,0,0,0,0,0,0,0,0,32526,2008
Total,29283,2290,824,129,0,0,0,0,0,0,0,0,0,32526,2008
SSA,24386,3234,332,498,747,498,166,332,664,164,0,0,0,31021,2009
Total,24386,3234,332,498,747,498,166,332,664,164,0,0,0,31021,2009
SSA,29117,2265,324,324,161,161,0,0,0,0,0,0,0,32352,2010
Total,29117,2265,324,324,161,161,0,0,0,0,0,0,0,32352,2010
SSA,28616,2226,412,205,200,135,1,1,0,0,0,0,0,31796,2011
Total,28616,2226,412,205,200,135,1,1,0,0,0,0,0,31796,2011
SSA,28040,2181,408,205,195,124,1,1,0,0,1,0,0,31156,2012
Total,28040,2181,408,205,195,124,1,1,0,0,1,0,0,31156,2012
SSA,31006,5399,1157,0,0,0,0,0,0,0,0,0,0,37562,2013
Total,31006,5399,1157,0,0,0,0,0,0,0,0,0,0,37562,2013
SSA,19840,3273,726,121,73,46,0,0,0,0,2,0,0,24081,2014
Total,19840,3273,726,121,73,46,0,0,0,0,2,0,0,24081,2014
SSA,17657,2586,1063,607,331,0,0,0,0,0,0,0,0,22244,2015
Total,17657,2586,1063,607,331,0,0,0,0,0,0,0,0,22244,2015
