Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total
Admin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C&LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HRM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OASHRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OASP&IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODASB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODASIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OI&T,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSDBU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P&P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0
