Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total
FSA,15,10,16,12,4,4,5,3,0,0,2,0,0,71
IES,3,0,1,0,0,0,0,0,0,0,0,0,0,4
M,20,3,4,3,2,2,1,0,1,0,0,0,0,36
OCFO-CAM,10,0,1,2,0,0,0,0,0,0,0,0,0,13
OCIO,0,2,0,0,0,0,0,0,0,0,0,0,0,2
OCO,1,0,0,0,0,0,0,0,0,0,0,0,0,1
OCR,7,2,7,2,0,0,0,0,0,0,0,0,0,18
OCR-1 Boston,95,3,2,2,0,0,0,0,0,0,0,0,0,102
OCR-2 New York,51,12,17,8,5,0,2,0,0,2,4,3,0,104
OCR-3 Philadelphia,77,1,0,0,0,0,0,0,0,0,0,0,0,78
OCR-4 Atlanta,16,5,1,8,2,2,2,1,1,0,1,0,0,39
OCR-5 Chicago,132,6,0,0,0,0,0,0,0,0,0,0,0,138
OCR-6 Dallas,27,2,1,1,0,0,0,0,0,0,0,0,0,31
OCR-7 Kansas City,6,3,0,4,1,0,0,0,2,1,2,3,1,23
OCR-8 Denver,30,0,1,0,0,0,0,0,0,0,0,0,0,31
OCR-9 San Francisco,41,1,0,0,0,0,0,0,0,0,0,0,0,42
OCR-10 Seattle,18,0,0,0,0,0,0,0,0,0,0,0,0,18
OCR-12 Cleveland,2,1,1,1,0,0,0,0,0,0,0,0,0,5
OCR-Metro D.C.,31,18,4,4,0,0,0,0,0,1,0,0,0,58
ODS,2,0,0,1,0,0,0,0,0,0,0,0,0,3
OESE,23,3,1,3,0,0,0,0,0,0,0,0,0,30
OGC,0,0,1,0,0,0,0,0,0,0,0,0,0,1
OIG,41,5,0,1,0,0,0,0,0,1,1,0,0,49
OII,1,0,1,1,0,0,0,0,0,0,0,0,0,3
OM,4,1,0,0,0,0,0,0,0,1,0,0,0,6
OM-PIRMS,153,6,3,2,1,0,0,0,0,2,1,0,0,168
OPE,15,2,5,0,1,0,0,0,0,0,0,0,0,23
OPEPD,4,0,0,0,0,0,0,0,0,0,0,0,0,4
OS,1,0,0,0,0,0,0,0,0,0,0,0,0,1
OSERS,28,5,4,1,0,0,0,0,0,0,0,0,0,38
Total,854,91,71,56,16,8,10,4,4,8,11,6,1,1140
