Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
FMSHRC,56,3,0,0,0,0,0,0,0,0,0,0,0,59,2008
Total,56,3,0,0,0,0,0,0,0,0,0,0,0,59,2008
FMSHRC,47,0,0,0,0,0,0,0,0,0,0,0,0,47,2009
Total,47,0,0,0,0,0,0,0,0,0,0,0,0,47,2009
FMSHRC,87,1,0,0,0,0,0,0,0,0,0,0,0,88,2010
Total,87,1,0,0,0,0,0,0,0,0,0,0,0,88,2010
FMSHRC,174,4,0,0,0,0,0,0,0,0,0,0,0,178,2011
Total,174,4,0,0,0,0,0,0,0,0,0,0,0,178,2011
FMSHRC,176,0,0,0,0,0,0,0,0,0,0,0,0,176,2012
Total,176,0,0,0,0,0,0,0,0,0,0,0,0,176,2012
FMSHRC,142,2,0,0,0,0,0,0,0,0,0,0,0,144,2013
Total,142,2,0,0,0,0,0,0,0,0,0,0,0,144,2013
FMSHRC,118,1,0,0,0,0,0,0,0,0,0,0,0,119,2014
Total,118,1,0,0,0,0,0,0,0,0,0,0,0,119,2014
FMSHRC,116,1,0,0,0,0,0,0,0,0,0,0,0,117,2015
Total,116,1,0,0,0,0,0,0,0,0,0,0,0,117,2015
