Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
ATLANTA,586,3,0,0,0,0,0,0,0,0,0,0,0,589,2010
BIRMINGHAM,648,269,13,2,0,0,0,0,0,0,0,0,0,932,2010
CHARLOTTE,855,181,5,0,0,0,0,0,0,0,0,0,0,1041,2010
CHICAGO,861,36,3,1,0,0,0,1,0,0,0,0,0,902,2010
DALLAS,1610,105,46,4,0,0,0,0,0,0,0,0,0,1765,2010
HOUSTON,882,16,0,0,0,0,0,0,0,0,0,0,0,898,2010
INDIANAPOLIS,2285,28,0,0,0,0,0,0,0,0,0,0,0,2313,2010
LOS ANGELES,737,1,0,0,0,0,0,0,0,0,0,0,0,738,2010
MEMPHIS,783,14,0,0,0,0,0,0,0,0,0,0,0,797,2010
MIAMI,1223,311,57,36,12,7,4,8,3,1,2,0,0,1664,2010
NEW YORK,447,56,15,8,4,5,1,0,0,0,0,0,0,536,2010
OLC/HDQ,231,78,15,5,0,0,0,2,0,0,0,0,0,331,2010
PHILADELPHIA,1029,240,44,9,4,2,0,0,0,0,0,0,0,1328,2010
PHOENIX,437,7,0,0,0,0,0,0,0,0,0,0,0,444,2010
SAN FRANCISCO,477,58,3,0,0,0,0,0,0,0,0,0,0,538,2010
ST. LOUIS,1008,7,0,0,0,0,0,0,0,0,0,0,0,1015,2010
WFO,131,131,127,3,0,0,1,0,0,0,0,0,0,393,2010
Total,14230,1541,328,68,20,14,6,11,3,1,2,0,0,16224,2010
ATLANTA,615,37,0,0,0,0,0,0,0,0,0,0,0,652,2011
BIRMINGHAM,1003,306,21,5,0,0,0,0,0,0,0,0,0,1335,2011
CHARLOTTE,730,443,5,0,0,0,0,0,0,0,1,0,0,1179,2011
CHICAGO,726,44,0,0,1,0,0,0,0,0,0,0,0,771,2011
DALLAS,1557,202,105,9,1,0,0,0,0,0,0,0,0,1874,2011
HOUSTON,1051,32,0,0,0,0,0,0,0,0,0,0,0,1083,2011
INDIANAPOLIS,2101,36,1,0,0,0,0,0,0,0,0,0,0,2138,2011
LOS ANGELES,928,0,0,0,0,0,0,0,0,0,0,0,0,928,2011
MEMPHIS,648,47,1,0,0,0,0,0,0,0,0,0,0,696,2011
MIAMI,1032,635,79,7,1,0,0,0,0,0,0,0,0,1754,2011
NEW YORK,204,103,59,40,23,17,8,15,10,9,15,0,0,503,2011
OLC/HDQ,211,97,27,11,1,0,0,0,0,0,0,0,0,347,2011
PHILADELPHIA,482,474,98,27,3,3,1,1,2,0,0,0,0,1091,2011
PHOENIX,663,19,0,0,0,0,0,0,0,0,0,0,0,682,2011
SAN FRANCISCO,726,11,0,1,1,0,0,0,0,0,0,0,0,739,2011
ST. LOUIS,1116,3,0,0,0,0,0,0,0,0,0,0,0,1119,2011
WFO,164,3,0,0,0,0,0,0,0,0,0,0,0,167,2011
Total,13957,2492,396,100,31,20,9,16,12,9,16,0,0,17058,2011
ATLANTA,398,223,106,51,18,16,1,1,1,0,0,0,1,816,2012
BIRMINGHAM,914,418,22,3,0,0,0,0,0,0,0,0,0,1357,2012
CHARLOTTE,1098,168,0,0,0,0,0,0,0,0,0,0,0,1266,2012
CHICAGO,771,131,0,0,0,0,0,0,0,0,0,0,0,902,2012
DALLAS,1342,284,123,8,0,2,1,0,0,0,0,0,0,1760,2012
HOUSTON,955,17,0,0,0,0,0,0,0,0,0,0,0,972,2012
INDIANAPOLIS,1926,77,0,0,0,0,0,0,0,0,0,0,0,2003,2012
LOS ANGELES,943,0,0,0,0,0,0,0,0,0,0,0,0,943,2012
MEMPHIS,592,220,30,2,0,0,0,0,0,0,0,0,0,844,2012
MIAMI,894,672,2,0,1,0,0,0,0,0,0,0,0,1569,2012
NEW YORK,313,189,95,74,31,22,16,11,4,1,13,0,0,769,2012
OLC/HDQ,250,122,14,6,0,1,1,1,0,0,1,0,1,397,2012
PHILADELPHIA,333,561,67,8,2,0,0,1,1,0,1,0,0,974,2012
PHOENIX,582,4,0,0,0,0,0,0,0,0,0,0,0,586,2012
SAN FRANCISCO,475,182,11,0,0,0,0,0,0,0,0,0,0,668,2012
ST. LOUIS,1053,144,0,0,0,0,0,0,0,0,0,0,0,1197,2012
WFO,233,3,0,0,0,0,0,0,0,0,0,0,0,236,2012
Total,13072,3415,470,152,52,41,19,14,6,1,15,0,2,17259,2012
ATLANTA,833,368,100,69,15,18,4,5,1,0,0,0,0,1413,2013
BIRMINGHAM,488,767,41,13,0,1,0,0,0,0,0,0,0,1310,2013
CHARLOTTE,1157,118,0,0,0,0,0,0,0,0,0,0,0,1275,2013
CHICAGO,810,159,6,0,0,0,0,0,0,0,0,0,0,975,2013
DALLAS,1265,166,183,27,8,5,0,0,0,0,0,0,0,1654,2013
HOUSTON,923,18,1,0,0,0,0,0,0,0,0,0,0,942,2013
INDIANAPOLIS,1939,69,0,0,0,0,0,0,0,0,0,0,0,2008,2013
LOS ANGELES,1009,0,0,0,0,0,0,0,0,0,0,0,0,1009,2013
MEMPHIS,486,179,7,0,0,0,0,0,0,0,0,0,0,672,2013
MIAMI,1305,592,18,2,0,1,0,0,0,0,0,0,0,1918,2013
NEW YORK,392,205,60,77,39,45,28,14,5,1,1,0,0,867,2013
OLC/HDQ,362,64,5,4,1,1,0,0,0,0,0,0,0,437,2013
PHILADELPHIA,440,680,221,54,8,1,0,0,0,0,0,0,0,1404,2013
PHOENIX,481,49,0,0,0,0,0,0,0,0,0,0,0,530,2013
SAN FRANCISCO,307,278,77,30,9,0,0,0,0,0,2,0,0,703,2013
ST. LOUIS,1022,93,19,12,14,2,0,0,0,0,0,1,0,1163,2013
WFO,185,1,1,0,0,0,0,0,0,0,0,0,0,187,2013
Total,13404,3806,739,288,94,74,32,19,6,1,3,1,0,18467,2013
ATLANTA,1213,85,11,1,0,0,0,0,0,0,0,0,0,1310,2014
BIRMINGHAM,250,635,210,16,3,0,0,0,0,0,0,0,0,1114,2014
CHARLOTTE,945,86,0,0,0,0,0,0,0,0,1,0,0,1032,2014
CHICAGO,628,94,0,1,0,0,0,0,0,0,0,0,0,723,2014
DALLAS,1200,96,182,101,39,10,5,3,1,0,0,0,0,1637,2014
HOUSTON,647,98,24,2,0,1,0,0,0,0,0,0,0,772,2014
INDIANAPOLIS,1703,35,0,0,0,0,0,0,0,0,0,0,0,1738,2014
LOS ANGELES,1116,0,0,0,0,0,0,0,0,0,1,0,0,1117,2014
MEMPHIS,471,208,70,0,0,0,0,0,0,0,0,0,0,749,2014
MIAMI,1302,295,62,28,0,0,0,0,0,0,0,0,0,1687,2014
NEW YORK,338,171,71,43,47,26,25,18,4,0,0,0,0,743,2014
OLC/HDQ,297,114,16,4,6,0,0,0,0,1,0,0,0,438,2014
PHILADELPHIA,513,501,132,86,41,9,0,0,0,0,1,1,0,1284,2014
PHOENIX,491,45,0,0,0,0,0,0,0,0,0,0,0,536,2014
SAN FRANCISCO,454,114,46,49,49,24,4,2,0,0,2,0,0,744,2014
ST. LOUIS,870,8,3,2,1,0,0,0,0,0,0,0,0,884,2014
WFO,185,14,0,0,0,0,0,0,0,0,0,0,0,199,2014
Total,12623,2599,827,333,186,70,34,23,5,1,5,1,0,16707,2014
ATLANTA,1268,129,20,5,0,0,0,0,0,0,1,0,0,1423,2015
