Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total
ACF,52,11,5,0,4,5,1,0,2,3,16,32,2,133
AOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMS,27310,2371,681,323,165,145,76,34,35,49,45,50,35,31319
OIG,329,3,0,0,0,0,0,0,0,0,0,0,0,332
OPHS,272,64,34,26,12,14,10,11,13,9,56,28,36,585
AHRQ,46,22,0,0,0,0,0,0,0,0,0,0,0,68
CDC,103,40,7,6,4,4,3,0,0,0,0,2,8,177
FDA,397,434,395,600,521,447,406,520,444,312,1578,312,1015,7381
HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHS,55,10,12,3,0,0,0,3,0,0,0,0,0,83
NIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMHSA,10,18,10,200,0,0,0,0,0,0,0,0,0,238,OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,28574,2973,1144,1158,706,615,496,568,494,373,1695,424,1096,40316
