Date Filed,Case Name,Case Number,Court
1/1/2015,Leopold v. Department of the Treasury,15-00001,D.D.C.
1/2/2015,"Judicial Watch, Inc. v. Department of State",15-00003,D.D.C.
1/5/2015,Turner v. Department of the Treasury,15-00007,E.D. Cal.
1/5/2015,Energy & Environment Legal Institute v. Department of Energy,15-00007,D.D.C.
1/5/2015,Marck v. Department of Health and Human Services,15-00010,D.D.C.
1/6/2015,Kaye v. U.S. Citizenship and Immigration Services,15-00062,S.D.N.Y.
1/8/2015,Center for Biological Diversity v. Bureau of Safety and Environmental Enforcement,15-00022,D.D.C.
1/12/2015,"Welby, Brady & Greenblatt, LLP v. Department of Health and Human Services",15-00195,S.D.N.Y.
1/12/2015,Fischbarg v. Federal Communications Commission,15-00212,S.D.N.Y.
1/14/2015,Public Employees for Environmental Responsibility v. U.S. Fish and Wildlife Service,15-00051,D.D.C.
1/15/2015,Tuffly v. Department of Homeland Security,15-00067,D. Ariz.
1/15/2015,Los Angeles Times Communications LLC v. Department of Defense,15-00319,C.D. Cal.
1/19/2015,Rocky Mountain Wild Inc v. U.S. Forest Service,15-00127,D. Colo. 
1/21/2015,Henderson v. Office of the Director of National Intelligence,15-00103,D.D.C.
1/21/2015,Thelen v. Department of Justice,15-00102,D.D.C.
1/23/2015,Gabrion v. Department of Justice,15-00024,S.D. Ill. 
1/25/2015,Leopold v. Department of State,15-00123,D.D.C.
1/26/2015,Goudkov v. U.S. Customs and Border Protection,15-00125,D.D.C.
1/28/2015,"Spearhead Roofing, LLC v. Department of Veterans Affairs",15-00147,D. Or. 
1/28/2015,Eames v. Administrative Committee of the Federal Register,15-00021,D. Utah
1/30/2015,"The Law Office of James Holmes, P.C. v. Department of Labor",15-00098,E.D. Tex.
2/2/2015,Benjamin v. Department of State,15-00160,D.D.C.
2/3/2015,Service Women's Action Network v. Department of Defense,15-00137,D. Conn. 
2/4/2015,Peeler v. Federal Bureau of Investigation,15-00169,D. Conn. 
2/4/2015,Zamora v. Commodities Futures and Exchange Commission,15-00830,S.D.N.Y.
2/5/2015,Cavezza v. Department of Justice,15-00182,D.D.C.
2/9/2015,Parrett v. Department of the Army,15-00197,D.D.C.
