Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
AMS,0,1,3,39,9,77,1,0,3,2,1,0,0,0,
APHIS,1,4,13,36,56,395,47,0,258,14,3,12,0,0,
ASCR,0,1,0,0,3,10,1,0,8,0,0,0,0,0,
FAS,0,0,0,3,0,4,0,0,0,0,0,0,0,0,
FNCS,0,1,79,3,58,132,0,0,104,21,74,0,0,0,
FS,0,2,42,122,132,456,40,2,148,4,45,52,0,1,
FSA,4,6,158,3,21,197,3,0,6,1,0,0,0,2,
FSIS,0,16,0,107,38,134,9,0,103,0,7,0,0,0,
GIPSA,0,0,0,7,5,13,5,0,9,0,3,0,0,0,
NRCS,1,2,69,13,10,48,0,0,1,1,0,0,0,2,
OCFO,0,0,0,0,0,10,0,0,0,0,0,0,0,0,
OGC,0,0,0,0,7,7,0,0,0,0,0,0,0,0,
OIG,0,0,0,1,14,34,11,0,31,0,2,0,0,0,
OSEC/OCIO/DM,0,0,3,22,65,6,0,1,0,0,0,0,0,0,
RD,0,0,2,33,15,41,1,0,7,0,0,0,0,0,
REE,0,0,2,20,5,28,0,0,0,0,0,0,0,0,
RMA,0,0,11,4,3,12,2,0,0,0,0,0,0,0,
Total,6,33,382,413,441,1604,120,3,678,43,135,64,0,5,
