Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
FSA,0,5,9,21,14,39,5,0,3,0,0,0,0,0,
IES,0,0,0,21,4,30,0,0,1,0,0,0,0,0,
IES-NAGB,0,0,0,2,0,1,0,0,0,0,0,0,0,0,
OCFO,0,0,0,2,1,2,0,0,0,0,0,0,0,0,
OCFO-CAM,0,0,0,12,0,13,0,0,0,0,0,0,0,0,
OCIO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
OCR,0,0,0,0,5,28,7,1,65,0,0,0,0,0,
OCR-1 Boston,0,0,0,0,3,7,24,0,86,0,0,0,0,0,
OCR-2 New York,0,0,0,0,0,8,7,7,25,0,0,0,0,0,
OCR-3 Philadelphia,0,0,1,0,3,1,2,0,40,0,0,0,0,0,
OCR-4 Atlanta,0,0,0,0,6,3,2,0,2,0,0,0,0,0,
OCR-5 Chicago,0,0,1,0,9,8,18,0,7,0,0,0,0,0,
OCR-6 Dallas,0,0,0,0,1,6,5,0,7,0,0,0,0,0,
OCR-7 Kansas City,0,0,0,0,3,3,10,0,8,0,0,0,0,0,
OCR-8 Denver,0,11,0,0,23,29,7,0,2,0,0,0,0,0,
OCR-9 San Francisco,0,0,0,0,8,35,9,0,35,0,0,0,0,0,
OCR-10 Seattle,0,0,0,0,9,0,40,0,82,0,0,0,0,0,
OCR-12 Cleveland,0,0,1,0,2,2,9,0,10,0,0,0,0,0,
OCR-Metro D.C.,0,0,0,0,0,0,7,0,41,0,0,0,0,0,
OELA,0,0,0,5,0,0,0,0,0,0,0,0,0,0,
OESE,0,1,0,23,2,38,0,0,0,0,0,0,0,0,
OGC,0,1,0,0,2,3,0,0,1,0,0,0,0,0,
OIG,0,1,1,1,2,10,13,0,7,1,7,0,0,0,
OII,0,0,0,10,0,23,0,0,0,0,0,0,0,0,
OM,0,0,0,0,1,9,2,0,1,0,0,0,0,0,
OM-PIRMS,0,7,3,32,5,55,2,0,7,0,0,0,0,0,
OPE,0,1,0,74,5,79,0,0,0,0,0,0,0,0,
OPEPD,0,0,0,0,1,9,0,0,0,0,0,0,0,0,
OSDFS,0,13,0,52,2,93,0,0,0,0,0,0,0,0,
OSERS,0,1,0,15,4,25,0,0,1,0,0,0,0,0,
OUS,0,0,0,3,4,4,0,0,0,0,0,0,0,0,
Total,0,42,16,273,119,563,169,8,431,1,7,0,0,0,
