Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
Office of the AG,0,3,1,0,19,15,1,0,8,0,1,1,0,0,
Office of the DAG,2,2,1,0,15,11,1,0,7,1,1,0,0,0,
Office of the Assoc. AG,0,0,0,0,2,2,0,0,0,0,0,0,0,0,
Antitrust,0,2,7,3,7,9,15,0,7,9,0,0,0,0,
ATF,0,0,187,72,81,201,67,1,257,7,29,2,0,0,
BOP,0,551,0,60,329,396,25,0,630,45,239,496,0,0,
Civil,0,0,2,1,27,11,2,0,0,0,0,0,0,0,
Civil Rights,0,1,1,2,50,9,30,0,122,0,1,0,0,0,
COPS,0,1,0,1,1,5,0,0,0,0,0,0,0,0,
Criminal,3,22,19,1,152,171,23,0,159,42,16,1,0,0,
CRS,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
DEA,6,515,28,7,21,79,30,0,573,269,45,502,0,0,
ENRD,0,2,1,3,12,19,3,0,10,1,2,0,0,0,
EOIR,0,2,1,0,6,166,0,0,1,1,0,0,0,0,
EOUSA,4,113,278,9,417,674,52,1,117,136,42,101,0,1,
EOUST,0,2,2,1,2,15,1,0,2,1,0,0,0,0,
FBI,580,1681,450,15,110,2440,245,40,2436,1409,651,32,3,0,
FCSC,0,0,1,0,5,7,0,0,0,0,0,0,0,0,
JMD,0,4,1,3,2,8,0,1,2,0,0,2,0,0,
NDIC,0,13,0,0,0,1,0,0,0,13,13,0,0,0,
NSD,28,3,0,3,10,1,0,9,0,0,0,0,0,0,
OFDT,0,0,1,7,2,9,0,0,1,0,0,6,0,0,
OIG,1,1,0,0,5,74,2,0,77,0,3,1,0,0,
OIP,0,1,0,0,7,6,0,0,2,0,0,0,0,0,
OIPL,0,0,0,0,1,3,0,0,2,0,0,0,0,0,
OJP,0,1,1,12,13,112,0,0,0,1,1,0,0,0,
OLA,0,2,1,0,10,10,0,0,1,0,0,0,0,0,
OLC,14,2,12,0,11,15,0,0,0,0,0,0,0,0,
OLP,0,1,1,0,10,25,0,0,2,0,0,0,0,0,
OPR,0,6,0,0,9,40,4,0,32,0,0,0,0,0,
OSG,0,0,0,0,35,0,0,0,0,0,0,0,0,0,
OVW,0,0,0,0,5,27,0,0,0,0,0,0,0,0,
Pardon Attorney,0,0,0,0,27,46,18,0,46,0,0,1,0,0,
Public Affairs,0,0,0,0,6,8,0,0,2,0,0,0,0,0,
PRAO,0,0,0,0,2,1,0,0,1,0,1,0,0,0,
TAX,0,0,6,0,8,10,1,0,5,2,1,1,0,0,
USMS,0,147,8,2,16,61,6,0,539,5,32,10,0,0,
USNCB,0,22,0,0,0,0,10,0,36,28,8,0,0,0,
USPC,0,1,0,0,11,40,3,1,40,3,2,4,0,0,
Total,638,3101,1011,202,1447,4727,539,53,5117,1973,1088,1160,3,1,
