Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
HQ,1,2,23,24,34,36,9,0,14,11,8,0,0,0,
Region 1,0,0,0,2,6,4,0,0,0,0,0,0,0,0,
Region 2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
Region 3,0,0,0,0,1,0,0,0,1,4,0,0,0,0,
Region 4,0,0,0,31,43,53,20,0,20,0,0,0,0,1,
Region 5,0,0,1,7,38,27,17,0,9,3,0,0,0,0,
Region 6,0,0,7,4,19,22,3,1,0,4,0,0,0,0,
Region 7,0,0,0,12,11,8,1,0,1,0,1,0,0,0,
Region 8,0,0,0,2,4,0,2,0,0,0,0,0,0,0,
Region 9,0,0,1,9,14,10,8,1,0,0,1,0,0,2,
Region 10,0,0,0,2,28,20,6,0,1,4,0,0,0,0,
Total,1,2,32,94,199,180,66,2,46,26,10,0,0,3,
