Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
FSA,0,2,8,15,23,43,1,0,0,1,4,0,0,0,
IES,0,0,0,19,1,25,0,0,3,0,0,0,0,0,
M,0,1,2,10,21,42,0,0,5,0,0,0,0,0,
OCFO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
OCFO-CAM,0,0,0,29,0,22,0,0,0,0,0,0,0,0,
OCIO,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
OCO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
OCR,0,1,0,1,8,28,8,0,52,0,0,0,0,0,
OCR-1 Boston,0,0,1,1,12,9,15,0,102,0,0,0,0,0,
OCR-2 New York,0,1,0,0,1,8,14,5,44,0,1,0,0,0,
OCR-3 Philadelphia,0,1,0,0,5,1,4,0,49,0,0,0,0,0,
OCR-4 Atlanta,0,0,0,0,3,1,6,0,1,1,0,0,0,0,
OCR-5 Chicago,0,0,0,0,3,3,19,0,4,0,0,0,0,0,
OCR-6 Dallas,0,0,0,1,1,3,3,0,5,0,0,0,0,0,
OCR-7 Kansas City,0,0,0,0,4,2,7,0,5,0,0,0,0,0,
OCR-8 Denver,0,6,0,0,12,30,8,0,1,0,0,0,0,0,
OCR-9 San Francisco,0,0,1,0,5,42,1,0,4,0,0,0,0,0,
OCR-10 Seattle,0,0,0,0,8,2,31,0,80,0,0,0,0,0,
OCR-12 Cleveland,0,0,0,0,1,5,5,0,9,0,0,0,0,0,
OCR-Metro D.C.,0,0,0,0,8,3,5,0,52,0,0,0,0,0,
ODS,0,0,0,2,2,0,0,0,0,0,0,0,0,0,
OELA,0,0,0,3,0,3,0,0,0,0,0,0,0,0,
OESE,0,0,0,26,9,46,1,0,1,0,0,0,0,0,
OGC,0,0,0,1,2,2,0,0,0,0,0,0,0,0,
OIG,0,1,0,1,4,15,3,0,2,0,6,0,0,0,
OII,0,0,0,15,0,22,0,0,0,0,0,0,0,0,
OLCA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
OM,0,0,0,1,0,23,0,0,0,0,0,0,0,0,
OM-PIRMS,0,1,0,18,4,42,1,0,4,0,0,0,0,0,
OPE,0,0,0,88,3,95,1,0,4,0,0,0,0,0,
OPEPD,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
OS,0,0,0,1,3,20,0,0,0,0,0,0,0,0,
OSDFS,0,0,0,1,0,6,0,0,0,0,0,0,0,0,
OSERS,0,0,0,11,2,19,0,0,0,0,0,0,0,0,
OUS,0,0,0,0,2,3,0,0,0,0,0,0,0,0,
OVAE,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Total,0,14,12,246,150,570,133,5,427,2,11,0,0,0,
