Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
CBP,0,8574,468,129,48,8345,58,0,8358,19,6322,0,0,0,
CRCL,0,2,0,0,3,3,0,0,0,0,0,0,0,0,
FEMA,0,24,14,117,26,163,1,0,3,3,0,0,0,0,
FLETC,0,24,0,28,2,14,0,0,0,0,16,0,0,0,
I&A,2,9,0,4,3,11,1,0,1,0,1,0,0,0,
ICE,0,4156,83,32,126,4330,84,18,4223,6,870,2,0,0,
MGMT,0,10,8,39,4,19,0,0,4,1,0,0,0,0,
NPPD,2,30,2,15,8,58,1,0,30,0,0,1,0,0,
OGC,1,10,0,0,8,11,0,0,0,0,0,0,0,0,
OIG,2,23,3,2,17,99,19,0,94,9,5,3,0,0,
OPS,68,296,0,562,2,337,0,0,0,0,45,5,0,0,
PLCY,0,2,0,0,1,5,0,0,0,0,0,0,0,0,
PRIV,4,74,5,10,46,106,2,1,19,4,18,2,0,0,
S&T,0,3,1,2,2,7,0,0,0,0,0,0,0,0,
TSA,0,90,76,37,26,122,5,0,20,0,0,2,0,0,
US-VISIT,0,4,0,1,1,6,0,0,1398,0,1354,0,0,0,
USCG,10,60,15,21,421,645,404,1,170,1,2,0,0,0,
USCIS,0,40209,970,40,41075,40037,31,0,50355,0,46357,0,0,0,
USSS,3,228,25,12,9,230,10,0,230,25,208,0,0,0,
Total,92,53828,1670,1051,41828,54548,616,20,64905,68,55198,15,0,0,
