Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
ACF,0,0,0,25,16,89,0,0,0,0,0,0,0,0,
CMS,0,2,15,65,26,5954,6,3,716,73,25,1,0,0,
OIG,0,1,10,81,62,187,80,1,162,0,24,0,0,0,
CDC,0,3,22,103,58,230,1,0,2,0,2,1,0,0,
FDA,0,1,57,184,31,45,156,0,17,7,2,2,0,0,
HRSA,0,0,6,36,5,30,0,0,0,0,0,3,0,0,
IHS,0,0,0,12,13,3,0,0,0,0,0,0,0,0,
NIH,0,0,4,18,26,45,9,0,4,0,0,0,0,0,
SAMHSA,0,0,1,65,3,75,0,0,1,0,0,0,0,0,
OS,0,0,3,78,111,173,22,0,78,1,0,3,0,0,
OASH,0,0,11,90,14,165,8,0,92,0,0,0,0,0,
ACL,0,0,0,1,1,3,1,0,0,0,0,0,0,0,
Total,0,7,129,758,366,6999,283,4,1072,81,53,10,0,0,
