Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
Admin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
BVA,0,0,0,0,1,3,0,0,0,0,0,0,0,0,
CFM,0,0,6,18,5,27,0,0,0,0,0,0,0,0,
GC,0,6,0,0,8,11,1,0,0,0,0,0,0,0,
HRM,0,1,0,0,0,0,0,0,1,0,0,0,0,0,
IG,0,7,26,1,18,86,12,0,18,0,4,1,0,0,
Mgmt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
NCA,0,0,0,1,2,63,0,0,0,0,0,1,0,0,
OAL,0,0,14,74,13,30,0,0,0,0,0,0,0,0,
OASHRA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
ODI,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
OF,0,0,0,1,0,8,0,0,0,0,0,0,0,0,
OIT,0,4,4,1,1,14,0,0,0,0,0,0,0,0,
ORM,0,0,0,0,0,6,0,0,5,0,0,0,0,0,
OSDBU,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
OSP,0,0,0,0,0,2,0,0,3,1,1,1,0,0,
SEC,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
VBA,0,5,1280,1,6,3262,3,1,20,0,0,0,0,0,
VHA,0,30,2115,182,116,5977,85,27,1454,20,14,12,0,0,
Total,0,53,3447,279,170,9496,101,28,1501,21,19,15,0,0,
