Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
AMS,0,8,8,51,19,77,3,0,2,0,0,0,0,0,
APHIS,0,0,28,45,31,375,74,0,176,0,1,10,0,0,
ASCR,0,0,0,1,2,8,1,0,4,0,0,0,0,0,
FAS,0,0,0,3,2,2,0,0,0,0,0,0,0,0,
FNCS,0,1,25,8,8,77,1,0,75,24,34,1,0,0,
FS,0,2,44,120,133,420,33,2,124,1,39,24,0,1,
FSA,6,6,271,8,45,270,2,0,5,0,0,0,0,0,
FSIS,0,24,0,125,51,158,1,3,96,0,1,0,0,0,
GIPSA,0,0,0,12,11,16,19,0,13,2,0,0,0,0,
NRCS,0,1,53,10,6,26,0,0,0,0,0,0,0,1,
OBPA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
OCFO,0,0,0,0,0,6,0,0,1,0,0,0,0,0,
OGC,0,0,2,1,9,4,1,0,0,1,0,0,0,0,
OIG,0,1,0,1,13,30,9,0,25,2,6,1,0,0,
OSEC/OCIO/DM,0,3,0,9,21,45,0,1,6,0,0,1,0,0,
RD,0,2,0,9,4,11,0,0,2,0,0,0,0,0,
REE,0,0,5,12,4,18,0,0,0,0,0,0,0,0,
RMA,0,2,19,4,2,12,0,0,0,0,0,0,0,0,
Total,6,50,455,419,362,1556,144,6,529,30,81,37,0,2,
