Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
ALJ,0,0,0,1,2,6,0,0,0,0,0,0,0,0,
BLS,0,0,2,4,1,1,0,0,0,0,0,0,0,0,
EBSA,0,0,0,3,7,64,22,0,28,1,16,0,0,0,
ETA,0,2,0,96,18,570,1,0,1,0,10,0,0,0,
MSHA,0,11,5,25,164,98,154,0,750,100,4,0,0,0,
OASAM,0,5,0,32,4,15,0,1,2,0,1,0,0,0,
OCIA,0,0,0,0,0,6,0,0,0,0,0,0,0,0,
OFCCP,0,0,0,13,11,7,5,1,51,6,36,0,0,0,
OIG,0,0,4,0,3,19,1,0,32,0,5,0,0,0,
OLMS,0,0,0,10,21,11,8,0,19,16,17,0,0,0,
OSEC,0,0,0,0,4,7,0,0,0,0,0,0,0,0,
OSHA,0,67,0,2520,2390,900,1251,78,3705,1635,138,5,0,0,
OWCP,0,6,0,10,6,25,0,0,0,0,3,0,0,0,
SOL,0,0,0,3,14,15,5,0,7,3,1,0,0,0,
VETS,0,1,0,8,45,18,23,2,37,19,12,0,0,0,
WHD,0,1,0,1056,468,15,284,3,1349,382,1167,0,0,0,
Total,0,93,11,3781,3158,1777,1754,85,5981,2162,1410,5,0,0,
