Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
ATLANTA,0,0,29,0,430,3,19,0,38,11,0,0,0,0,
BIRMINGHAM,0,0,241,1,685,0,45,0,385,0,0,0,0,0,
CHARLOTTE,0,1,24,1,958,3,29,0,381,1,0,0,0,0,
CHICAGO,0,1,45,4,632,71,63,13,350,3,0,0,0,0,
DALLAS,0,0,171,10,1136,81,57,1,566,5,0,0,0,0,
HOUSTON,0,0,61,0,726,242,75,2,203,1,0,0,0,0,
INDIANAPOLIS,0,0,425,10,1503,362,71,1,282,1,0,0,0,0,
LOS ANGELES,0,0,94,0,324,319,63,0,0,0,0,0,0,0,
MEMPHIS,0,0,318,1,675,335,216,1,440,0,0,0,0,0,
MIAMI,0,0,247,2,658,35,190,0,191,7,0,0,0,0,
NEW YORK,0,0,33,2,385,18,27,2,91,1,0,0,0,0,
OLC/HDQ,0,0,96,2,10,46,0,0,101,0,0,0,0,0,
PHILADELPHIA,0,0,251,1,941,78,106,0,605,3,0,0,0,0,
PHOENIX,0,0,88,3,243,199,65,0,137,0,0,0,0,0,
SAN FRANCISCO,0,0,345,0,402,292,48,1,295,0,0,0,0,0,
ST. LOUIS,0,0,19,1,803,3,80,0,50,2,0,0,0,0,
WFO,0,0,10,0,71,1,9,0,54,0,0,0,0,0,
Total,0,2,2497,38,10582,2088,1163,21,4169,35,0,0,0,0,
