Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
ACF,0,0,0,11,9,866,1,0,0,0,0,0,0,0,
CMS,0,2,29,74,30,6122,6,1,670,93,67,0,0,0,
OIG,0,1,83,76,48,179,86,0,132,0,19,4,0,0,
CDC,0,2,19,44,43,184,0,0,0,0,0,0,0,0,
FDA,0,5,42,163,17,40,116,0,17,6,5,2,0,0,
HRSA,0,0,3,124,6,65,0,0,0,0,0,3,0,0,
IHS,0,0,0,10,8,27,0,0,0,0,0,0,0,0,
NIH,0,0,19,44,40,46,11,0,5,0,1,0,0,0,
SAMHSA,0,0,0,78,2,92,0,0,0,0,0,0,0,0,
OS,0,0,5,96,133,209,18,0,59,0,2,9,0,0,
OASH,0,1,6,101,27,168,3,0,58,0,0,0,0,0,
ACL,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
Total,0,11,206,821,363,8000,241,1,941,99,94,18,0,0,
