Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
BEP,0,2,1,6,4,8,0,0,0,0,0,0,0,0,
BPD,0,0,0,2,0,1,0,0,0,0,0,0,0,0,
DO,13,16,11,21,37,37,2,0,28,2,4,2,2,0,
FinCEN,0,38,111,5,11,43,2,0,37,0,35,0,0,0,
FMS,0,3,25,6,2,73,0,0,0,0,0,0,0,0,
IRS,0,82,2009,29,501,491,477,0,876,64,908,7,0,0,
MINT,0,4,0,7,9,15,0,0,1,0,0,0,0,0,
OCC,0,0,0,32,26,20,1,0,0,0,0,0,63,0,
OTS,0,3,0,192,43,140,1,0,4,0,3,0,165,0,
TIGTA,0,44,60,4,49,2,3,0,112,18,34,0,0,0,
TTB,0,5,28,13,10,23,0,0,1,0,1,0,0,0,
Total,13,197,2245,317,692,853,486,0,1059,84,985,9,230,0,
