Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
BEP,1,3,0,9,3,12,2,0,1,0,2,1,0,0,
BPD,0,0,0,5,0,2,0,0,0,0,0,0,0,0,
DO,9,56,11,64,60,127,1,0,26,7,7,6,6,0,
FinCEN,0,12,128,0,3,22,0,0,18,3,19,0,1,0,
FMS,0,2,45,3,0,99,0,0,0,0,0,0,0,0,
IRS,0,116,1960,38,518,560,400,0,896,38,806,3,0,0,
MINT,0,1,0,2,4,7,0,0,0,0,0,2,0,0,
OCC,0,2,0,49,39,35,2,2,2,3,3,2,113,0,
OTS,0,0,0,200,55,126,3,0,12,0,4,0,186,0,
TIGTA,0,16,38,1,10,2,0,0,73,8,7,3,0,0,
TTB,0,1,18,18,10,14,2,0,0,0,1,0,0,0,
Total,10,209,2200,389,702,1006,410,2,1028,59,849,17,306,0,
