SERO Dealer,Permit,Dealer,Address,City,State,Zipcode,Effective Date,Expiration Date
550,SK,BRYANT PRODUCTS INC,PO BOX 357,BAYOU LA BATRE,AL,36509-0357,04/01/2016,03/31/2017
134,SK,MISS BECKY SEAFOOD INC,4371 OCEAN ST,ATLANTIC BCH,FL,32233-2417,04/01/2016,03/31/2017
2811,SK,MINDY WU,23426 TORRE CIR,BOCA RATON,FL,33433-7028,08/12/2016,06/30/2017
2439,SK,POSEIDON & SONS AQUATICS LLC,3090 LIVE OAK ST,CLEARWATER,FL,33763-0906,04/02/2016,03/31/2017
146,SK,SEAFOOD ATLANTIC INC,4065 TANGELO AVE,COCOA,FL,32926-2839,04/13/2016,03/31/2017
275,SK,A P BELL FISH CO INC,PO BOX 276,CORTEZ,FL,34215-0276,04/01/2016,03/31/2017
2248,SK,CORTEZ BAIT & SEAFOOD INC,PO BOX 579,CORTEZ,FL,34215-0579,10/26/2016,09/30/2017
639,SK,CAPE CANAVERAL SHRIMP COMPANY INC,PO BOX 269,CPE CANAVERAL,FL,32920-0269,02/01/2017,01/31/2018
1152,SK,SUNRISE BOAT MARINA INC,505 GLEN CHEEK DR,CPE CANAVERAL,FL,32920-4501,11/01/2016,10/31/2017
2816,SK,TWO JERKS SEAFOOD LLC,122 SPRINGWOOD DR,DAYTONA BEACH,FL,32119-1402,09/06/2016,03/31/2017
2677,SK,SEAFOOD OF SOUTH FLORIDA LLC,PO BOX 640,FORT MYERS,FL,33902-0640,05/04/2016,04/30/2017
1918,SK,GOIN OFF ENTERPRISES INC,800 SW 12TH CT,FT LAUDERDALE,FL,33315-1445,02/01/2017,01/31/2018
1066,SK,THE FISHMONGER OF FORT MYERS BEACH INC,19030 SAN CARLOS BLVD,FT MYERS BCH,FL,33931-2219,04/01/2016,03/31/2017
2834,SK,FLORIDA STONE CRABS AND SEAFOOD LLC,313 6TH AVE,INDIAN ROCKS BEACH,FL,33785,12/23/2016,05/31/2018
2610,SK,ISLAMORADA AQUARIUM INC,PO BOX 1422,ISLAMORADA,FL,33036-1422,08/10/2016,06/30/2017
400,SK,KEY LARGO FISHERIES INC,PO BOX 273,KEY LARGO,FL,33037,12/01/2016,11/30/2017
1114,SK,FISHBUSTERZ LLC,PO BOX 169,KEY WEST,FL,33041-0169,05/01/2016,04/30/2017
1639,SK,DAY BOAT SEAFOOD LLC,1335 OLD DIXIE HWY,LAKE PARK,FL,33403-1966,12/01/2016,11/30/2017
959,SK,FISHERMENS ICE & BAIT INC,PO BOX 8127,MADEIRA BEACH,FL,33738-8127,12/01/2016,11/30/2017
2079,SK,ELITE SKY INTERNATIONAL INC,1100 OVERSEAS HWY,MARATHON,FL,33050-2014,02/01/2017,01/31/2018
1050,SK,DYNASTY MARINE ASSOCIATES INC,10602 7TH AVENUE GULF,MARATHON,FL,33050-3035,04/01/2016,03/31/2017
654,SK,CASABLANCA FISH MARKET,404 NW NORTH RIVER DR,MIAMI,FL,33128-1628,06/01/2016,05/31/2017
2571,SK,CASABLANCA FISHERIES IMP & DIST LLC,PO BOX 669010,MIAMI,FL,33166-9426,07/01/2016,06/30/2017
2533,SK,SHORELINE NSB LLC,840 17TH STREET,NEW SMYRNA,FL,32169-5212,11/01/2016,10/31/2017
1042,SK,HULLS SEAFOOD MARKETS INC,111 WEST GRANADA BLVD,ORMOND BEACH,FL,32174,09/01/2016,07/31/2017
2558,SK,SEAFOOD AT PORT ORANGE INC,617 LEMON ST,PORT ORANGE,FL,32127-4363,02/09/2017,05/31/2018
907,SK,KINGS SEAFOOD INC,PO BOX 291607,PORT ORANGE,FL,32129-1607,11/01/2016,10/31/2017
467,SK,BAMA SEA PRODUCTS INC,756 28TH ST S,ST PETERSBURG,FL,33712-1907,01/01/2017,12/31/2017
2426,SK,TAMPA BAY SALTWATER INC,1720 W ELDRED DR,TAMPA,FL,33603-2814,01/12/2017,12/31/2017
2442,SK,MISS SHELL SEAFOOD INC,PO BOX 1169,TAVERNIER,FL,33070-1169,07/01/2016,06/30/2017
2488,SK,#1 BAIT COMPANY LLC,190 AZALEA ST,TAVERNIER,FL,33070-2201,04/01/2016,03/31/2017
2737,SK,CHRISTOPHER JAMES NADOLNA,5421 HOBART AVE,WEST PALM BCH,FL,33405-3418,10/03/2016,10/31/2017
479,SK,PHILLIPS SEAFOOD INC,1418 SAPELO AVE NE,TOWNSEND,GA,31331-5732,01/06/2017,11/30/2017
476,SK,D AND C SEAFOOD INC,PO BOX 127,BOOTHVILLE,LA,70038-0127,01/01/2017,12/31/2017
1467,SK,TUNACO INC,PO BOX 117,DULAC,LA,70353-0117,02/07/2017,08/31/2017
