Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),
FOIA-2015-01654,DAG,09/02/2015,"Communications between FinCEN staff and DOJ staff since August 1, 2013, on allowing marijuana businesses to access banking services",Full Denial of referred records,(b)(5),Certain inter- and intra- agency communications protected by legal privileges,
FOIA-2015-02391,DAG,09/02/2015,"Letters sent to the agency by Sen. Bob Menendez or the Senate Foreign Relations Committee from Dec. 2012 to March 11, 2015",No Records responsive to request were located,,,
FOIA-2015-02392,ASG,09/02/2015,"Letters sent to the agency by Sen. Bob Menendez or the Senate Foreign Relations Committee from Dec. 2012 to March 11, 2015",No Records responsive to request were located,,,
FOIA-2015-03099,AG,09/02/2015,Executive Order 10450,Full Denial: All requested documents WIF,(b)(5),Certain inter- and intra- agency communications protected by legal privileges,
FOIA-2015-05037,OIP,09/02/2015,"Information regarding funding that has been provided to Fairfax County, Virginia",Provided relevant information and assistance,,,
FOIA-2015-05045,AG,09/02/2015,Updated information regarding newly appointed Department of Justice Officials,Full Grant of publicly available material,,,
FOIA-2015-05168,AG,09/02/2015,Current memorandum of understanding between federal authorities and the Puerto Rico Department of Justice,No Records; Provided additional information and assistance,,,
FOIA-2015-05169,DAG,09/02/2015,Current memorandum of understanding between federal authorities and the Puerto Rico Department of Justice,No Records; Provided additional information and assistance,,,
FOIA-2015-05170,ASG,09/02/2015,Current memorandum of understanding between federal authorities and the Puerto Rico Department of Justice,No Records; Provided additional information and assistance,,,
FOIA-2015-05282,OIP,09/02/2015,"Records pertaining to the Claremont, California, Police Department","Referred requester and/or request to more appropriate entity (FBI, CRT, CIV, EOUSA)",,,
FOIA-2015-02550,DAG,09/03/2015,"All correspondence between the Department of Justice and Senator Ronald Harold ‘Ron’ Johnson dating from January 1, 2011, as well as correspondence between the Department of Justice and other specified positions Senator Johnson has held",No Records responsive to request were located,,,
FOIA-2015-02551,ASG,09/03/2015,"All correspondence between the Department of Justice and Senator Ronald Harold ‘Ron’ Johnson dating from January 1, 2011, as well as correspondence between the Department of Justice and other specified positions Senator Johnson has held",No Records responsive to request were located,,,
FOIA-2015-05131,OLP,09/03/2015,"Information regarding how to obtain the Oaths of Office for ""a New Jersey Judge and a few officers""",Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,,
FOIA-2015-05271,AG,09/03/2015,"AG Eric Holder August 12, 2013 Department of Policy on Charging Mandatory Minimum Sentence and Recidivist Enhancements in Certain Drug Cases",Full Grant of publicly available material,,,
FOIA-2011-01020,AG,09/04/2015,Armenian Secret Army for the Liberation of Armenia,Full Denial of referred record,"(b)(1), (b)(5), (b)(6), (b)(7)(C), (b)(7)(D)","Information that is classified by Executive Order to protect national security; Certain inter- and intra- agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to disclose the identity of a confidential source",
FOIA-2015-01495,OIP,09/04/2015,Communication between DOJ and Governor Piyush Bobby Jindal since 2008,Full Grant: All requested documents RIF,,,
FOIA-2015-02248,ASG,09/04/2015,Records pertaining to communications between the Department and John Kasich since 1983,No Records responsive to request were located,,,
FOIA-2015-03677,OIP,09/04/2015,Listing of FOIA contacts at all federal agencies and descriptions of major information systems to the FOIA Reference Guide,Full Grant of publicly available material,,,
FOIA-2015-04968,AG,09/04/2015,"""Document catalogs"" listing components' handbooks, manuals, publications, notices, guides, directives, forms, management instructions, and policy memoranda",Full Grant of publicly available material,,,
FOIA-2015-04969,DAG,09/04/2015,"""Document catalogs"" listing components' handbooks, manuals, publications, notices, guides, directives, forms, management instructions, and policy memoranda",Full Grant of publicly available material,,,
FOIA-2015-04970,ASG,09/04/2015,"""Document catalogs"" listing components' handbooks, manuals, publications, notices, guides, directives, forms, management instructions, and policy memoranda",Full Grant of publicly available material,,,
FOIA-2015-04971,OLA,09/04/2015,"""Document catalogs"" listing components' handbooks, manuals, publications, notices, guides, directives, forms, management instructions, and policy memoranda",Full Grant of publicly available material,,,
FOIA-2015-04972,OLP,09/04/2015,"""Document catalogs"" listing components' handbooks, manuals, publications, notices, guides, directives, forms, management instructions, and policy memoranda",Full Grant of publicly available material,,,
FOIA-2015-04973,PAO,09/04/2015,"""Document catalogs"" listing components' handbooks, manuals, publications, notices, guides, directives, forms, management instructions, and policy memoranda",Full Grant of publicly available material,,,
FOIA-2015-04974,OIP,09/04/2015,"""Document catalogs"" listing components' handbooks, manuals, publications, notices, guides, directives, forms, management instructions, and policy memoranda",Full Grant of publicly available material,,,
FOIA-2015-05256,OIP,09/04/2015,Copies of specific Executive Orders,Full Grant of publicly available material,,,
FOIA-2015-05265,OIP,09/04/2015,Contact in Arkansas for non-compliant Americans with Disability Act (ADA) bathroom facilities in Arkansas,Provided relevant information and assistance,,,
FOIA-2015-05460,AG,09/04/2015,Colombian Extradition Treaty between Columbia and the United States,No Records; Referred requester and/or request to more appropriate entity (CRM and State Department),,,
FOIA-2015-02268,OIP,09/08/2015,"1) Communications between DOJ and Governor Rick Perry from January 1, 1972 through January 2, 2015, and 2) copies of FOIA requests submitted to DOJ pertaining to Governor Perry",Full Grant; All requested documents RIF,,,
FOIA-2015-02352,OLP,09/08/2015,"Communications between DOJ and Governor Rick Perry from January 1, 1972 through January 2, 2015",No Records responsive to request were located,,,
FOIA-2015-02353,PAO,09/08/2015,"Communications between DOJ and Governor Rick Perry from January 1, 1972 through January 2, 2015",No Records responsive to request were located,,,
FOIA-2015-05268,OIP,09/08/2015,Records on three deceased individuals,No Records responsive to request were located,,,
FOIA-2015-05269,PAO,09/08/2015,The 1999 Justice Department Report on Post Conviction DNA testing and the 1999 Justice Department Report on Eyewitness Evidence,Full Grant of publicly available material,,,
FOIA-2015-05337,OIP,09/08/2015,"The ""Section 504 of the Rehabilitation Act of 1973 (29 W.S.C. 794) as amended""",Full Grant of publicly available material,,,
FOIA-2015-05497,OIP,09/08/2015,"Information on Rev. Jim Bakker, including information concerning his tax exempt status",Referred requester and/or request to more appropriate entity (IRS),,,
FOIA-2015-02349,OLP,09/09/2015,"Communication between the Department of Justice and John Ellis ""Jeb"" Bush, dating from January 1, 1974",No Records responsive to request were located,,,
FOIA-2015-04700,DAG,09/09/2015,"Department of Justice records containing the name Donald Trump or the words ""Trump Organization"" from the dates January 1, 2000 to July 13, 2015.",No Records; Provided additional information and assistance,,,
FOIA-2015-04701,ASG,09/09/2015,"Department of Justice records containing the name Donald Trump or the words ""Trump Organization"" from the dates January 1, 2000 to July 13, 2015.",No Records; Provided additional information and assistance,,,
FOIA-2015-05266,OLP,09/09/2015,"Senate Confirmation documents, Presidential Commissions, and Oaths of Office pertaining to judges Neil Bason and Sheri Bluebond of the United States Bankruptcy Court for the Central District of California",Referred requester and/or request to more appropriate entity (AOUSC),,,
FOIA-2014-00124,AG,09/10/2015,The disappearance of two identified individuals,Full Grant of referred records,,,
FOIA-2014-00815,OLA,09/10/2015,Copies of legal memoranda concerning state prisoner access to courts or to crime scene photos held by a police department,Full Grant of referred records,,,
FOIA-2015-01798,OLA,09/10/2015,“Crimes reports” and/or criminal referrals that the Central Intelligence Agency (CIA) made to the  Department of Justice related to the alleged unauthorized access of CIA-related documents by the staff of the Senate Select Committee on Intelligence,Full Grant of referred records,,,
FOIA-2015-02313,OIP,09/10/2015,"All communication between the Department of Justice (DOJ) and Governor Piyush ""Bobby"" Jindal dating from January 1, 1996, and all FOIA requests submitted to DOJ pertaining to Governor Piyush ""Bobby"" Jindal",Full Grant: All requested documents RIF,,,
FOIA-2015-02470,PAO,09/10/2015,All correspondence from 2003-2015 between the International Committee of the Red Cross and the Office of Public Affairs,No Records responsive to request were located,,,
FOIA-2015-04195,AG,09/10/2015,"All communications between the Office of the Attorney General and Representative Patrick Murphy from January 3, 2013 to June 12, 2015",No Records responsive to request were located,,,
FOIA-2015-04196,DAG,09/10/2015,"All communications between the Office of the Deputy Attorney General and Representative Patrick Murphy from January 3, 2013 to June 12, 2015",No Records responsive to request were located,,,
FOIA-2015-04197,ASG,09/10/2015,"All communications between the Office of the Associate Attorney General and Representative Patrick Murphy from January 3, 2013 to June 12, 2015",No Records responsive to request were located,,,
FOIA-2015-04204,PAO,09/10/2015,"All records of communications between Ted Strickland and the Office of Public Affairs from March 1, 2014 to February 28, 2015",No Records responsive to request were located,,,
FOIA-2015-05273,OIP,09/10/2015,Department of Justice Guide to the Freedom of Information Act (FOIA Guide),Full Grant of public material available free of charge but informed requester that further production would incur duplication fees,,,
FOIA-2015-05446,OIP,09/10/2015,Information for the Federal Aviation Administration,Provided relevant information and assistance,,,
FOIA-2015-05610,OIP,09/10/2015,"All regulations published in the Federal Registry pursuant to the Federal Registration Act, including but not limited to 18 U.S.C. 3231",Referred requester and/or request to more appropriate entity (NARA),,,
FOIA-2014-02067,AG,09/11/2015,"Records from the Departmental Executive Secretariat pertaining to the terms ""Senate Select Intelligence Committee,"" ""Senate Intelligence Committee,"" and ""SSCI""",Full Grant: All requested documents RIF,,,
FOIA-2015-04218,AG,09/11/2015,Policies and procedures utilized by the United States when deciding whether to intervene in a qui tam action brought under the Trade Agreements Act and/or the False Claims Act,Full Grant of referred records,,,
FOIA-2015-05644,OIP,09/11/2015,Records pertaining to a third party,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,,
FOIA-2014-01994,OLA,09/14/2015,Records pertaining to the impact of sequestration in Fiscal Years 2013 and 2014,Full Grant of referred records,,,
FOIA-2015-02271,ASG,09/14/2015,Records pertaining to communications between the Department and Marco Rubio ,No Records responsive to request were located,,,
FOIA-2015-03859,AG,09/14/2015,"Correspondence between the Department of Justice and Representative Alan M. Grayson or his staff since 2009, and as a partner at Grayson & Kubli from 1990-2009",No Records responsive to request were located,,,
FOIA-2015-03860,DAG,09/14/2015,"Correspondence between the Department of Justice and Representative Alan M. Grayson or his staff since 2009, and as a partner at Grayson & Kubli from 1990-2009",No Records responsive to request were located,,,
FOIA-2015-03861,ASG,09/14/2015,"Correspondence between the Department of Justice and Representative Alan M. Grayson or his staff since 2009, and as a partner at Grayson & Kubli from 1990-2009",No Records responsive to request were located,,,
FOIA-2014-02068,AG,09/15/2015,"The Departmental Executive Secretariat IQ database from the Offices of the Attorney General, Deputy Attorney General, or Associate Attorney General, located with the search term “Panetta Review,” from December 1, 2013 to the date the search is initiated",Full Grant: All requested documents RIF,,,
FOIA-2015-02027,AG,09/15/2015,"Remarks made by Attorney General Eric Holder to the Major Sheriffs' Association, and the Major Cities Chiefs Association on or about January 26, 2015",Full Grant: All requested documents RIF,,,
FOIA-2015-02870,OLA,09/15/2015,"Correspondence by the Attorney General, Deputy Attorney General, or their subordinates regarding the creation and implementation of the “USTO” program from January 1, 1989 to the present, as well correspondence to Congress on the program",No Records responsive to request were located,,,
FOIA-2015-04338,OLP ,09/15/2015,"Presidential Commissions, Appointment Affidavits, Oaths of Office, and Senate Confirmation documents pertaining to judges seated on the U.S. District Court for the Northern District of Texas, Dallas Division, and the Eastern District of Texas, Sherman D.",Partial Grant/Partial Denial; Referred requester and/or request to more appropriate entity (AOUSC),(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party,
FOIA-2015-04339,AG,09/15/2015,Correspondence between the Department of Justice and Representative Jefferson “Jeff” Miller from January 2001- present,No Records responsive to request were located,,,
