Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),
FOIA-2016-00261,PAO,02/01/2016,"Emails between Brian Fallon, former Director of the Office of Public Affairs, and John Podesta, Robert ""Robby"" Mook, Huma Abedin, or Cheryl Mills from December 1, 2014, to March 31, 2015",No Records responsive to request were located,,,
FOIA-2016-01330,OIP,02/02/2016,"A listing of all FOIA requests received by this Office from October 1, 2012 through December 31, 2015, with the following data fields: a) tracking number; b) office; c) date of request; d) date received; e) track; f) date closed (where applicable)",Full Grant: All requested documents RIF,,,
FOIA-2016-01332,OIP,02/02/2016,Records on James Napolitano,Referred requester to more appropriate entity: DHS,,,
FOIA-2013-04259,AG,02/03/2016,All the emails between former AG John Ashcroft's staff regarding the purchase of drapes to hang in front of the Spirit of Justice and Majesty of Law statues in the Great Hall of the DOJ building,No Records responsive to request were located,,,
FOIA-2016-01451,OIP,02/03/2016,Records pertaining to Matthew S. Bissonnette,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,,
FOIA-2016-01502,OIP,02/03/2016,FOIA Reference Guide,Full Grant of publicly available material,,,
FOIA-2016-01518,OIP,02/03/2016,Department of Justice Freedom of Information Act Reference Guide,Full Grant: All requested documents RIF,,,
FOIA-2015-05250,DAG,02/04/2016,The alien file on Boleslavs Maikovskis,Full Grant of referred records,,,
FOIA-2016-01278,DAG,02/04/2016,"Documents regarding the Department of Justice’s “investigation and handling of a leak to the media related to the prosecution of former Congressman Rick Renzi” from October 1, 2006, through December 31, 2007","Referred requester to more appropriate entities (FBI, CRM, EOUSA)",,,
FOIA-2016-01510,OIP,02/04/2016,Various complaints regarding government corruption in the state of Michigan,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,,
FOIA-2016-01241,OIP,02/05/2016,"The Department of Justice Regulations and Technical Manuals which apply to the Rehabilitation Act, 19 U.S.C. 794",Provided relevant information and assistance,,,
FOIA-2014-01428,OIP,02/08/2016,Records discussing the appropriate fee category for requests submitted using request-submitting services,No Records; Provided additional information and assistance,,,
FOIA-2016-01323,OIP,2/8/2016,"All terms and conditions, contracts and agreements between Federal Prison Industries and the Attorney or any department of agency",Full Grant of publicly available material and referred requester and/or request to more appropriate entities (JMD and BOP),,,
FOIA-2014-00119,DAG,02/09/2016,"Correspondence between the Department and U.S. Representatives Shelley Moore Capito, William Cassidy, and Steven Daly Daines dating from January 3, 1993",No Records responsive to request were located,,,
FOIA-2015-03760,OLP,02/09/2016,"All correspondence received from the Clinton Foundation dating from January 1, 1997",No Records responsive to request were located,,,
FOIA-2015-03762,OLA,02/09/2016,"All correspondence received from the Clinton Foundation dating from January 1, 1997",No Records responsive to request were located,,,
FOIA-2015-03766,ASG,02/09/2016,"All correspondence received from the Clinton Foundation dating from January 1, 1997",No Records responsive to request were located.,,,
FOIA-2015-03770,DAG,02/09/2016,"All correspondence received from the Clinton Foundation dating from January 1, 1997",No Records responsive to request were located,,,
FOIA-2016-01355,OIP,02/09/2016,Information regarding Housing and Urban Development and Department of Justice enforcement activities under the Fair Housing Act,Referred requester and/or request to more appropriate entity: CRT,,,
FOIA-2016-01429,OLA,02/09/2016,"Constituent correspondence between the Department and elected public officials that mention ""Trump"" from 1999 to present",No Records responsive to request were located,,,
FOIA-2016-01474,OIP,02/09/2016,Records regarding Michigan based cleric Ahmad Jebril,Provided relevant information and assistance,,,
FOIA-2014-03207,PAO,02/10/2016,Concerning the handling of three specific FOIA requests made by USA Today,Full Grant of referred records,,,
FOIA-2015-02412,AG,02/10/2016,All correspondence from 2003-2015 between the International Committee of the Red Cross and the Office of the Attorney General,Partial Grant/Partial Denial: All requested documents RIP,(b)(6),Information the release of which would clearly constitute unwarranted invasion of personal privacy of a third party,
FOIA-2015-03244,AG,02/10/2016,"All correspondence from August 1, 2014 to December 31, 2014 between Amnesty International or Amnesty International USA and the Office of the Attorney General",Full Grant: All requested documents RIF,,,
