Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2015-00384,OIP,1/6/15,"Any training materials prepared by DOJ on the exclusionary rule from January 1, 2010 to present",Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2015-01260,OIP,1/6/15,Records pertaining to Maher Hathout (deceased) and his links to the Muslim Brotherhood and its founder (Hassan al-Banna),Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2015-00849,OIP,1/7/15,"Information regarding third parties from 1932 or earlier, in regard to a bootlegging conviction","Referred requester and/or request to more appropriate entity (ATF, NARA)",,
FOIA-2015-00885,OAG,1/7/15,"Office of the Attorney General records related to an April 1963 prisoner swap with Cuba, involving four individuals",Referred requester and/or request to more appropriate entity (JFK Library),,
FOIA-2015-00994,OIP,1/7/15,An investigation into the Hammond (Indiana) Police Department,Provided relevant information and assistance,,
FOIA-2015-00996,OIP,1/7/15,Records on treaties between the United States of America and the Cheyenne and Arapaho Tribal Nations,Provided relevant information and assistance,,
FOIA-2015-00964,OIP,1/8/15,"Records pertaining to requester, and various other individuals",Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2015-00997,OIP,1/8/15,Requesting legal assistance,Provided relevant information and assistance,,
FOIA-2015-01074,OAG,1/8/15,"Copy of memoranda (1) from the Executive Office for the United States Attorneys regarding ""Policy on Charging Mandatory Minimum Sentence and Recidivist Enhancements in Certain Drug Cases"" dated August 12, 2014, and (2) from Attorney General Eric Holder regarding ""Retroactive Application of Department Policy on Charging Mandatory Minimum Sentences and Recidivist Enhancements in Certain Drug Cases"" dated August 29, 2013",Full grant,,
FOIA-2015-01075,ODAG,1/8/15,"Copy of memoranda (1) from the Executive Office for the United States Attorneys regarding ""Policy on Charging Mandatory Minimum Sentence and Recidivist Enhancements in Certain Drug Cases"" dated August 12, 2014, and (2) from Attorney General Eric Holder regarding ""Retroactive Application of Department Policy on Charging Mandatory Minimum Sentences and Recidivist Enhancements in Certain Drug Cases"" dated August 29, 2013",Full grant,,
FOIA-2015-01294,OIP,1/8/15,"ARCOS data from 1990 through 2013 on codeine, oxycodone, hydrocodone, morphine, hydromorphone, methadone, fentanyl, and meperidine",Referred requester and/or request to more appropriate entity (DEA),,
FOIA-2015-00889,OIP,1/9/15,Various records pertaining to sentencing policies,Full Grant of publicly available material; Provided other relevant information and assistance,,
