Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2014-02208,OIP,4/1/14,"Records pertaining to the settlement agreement between the Department of Justice and Ossur Americas, Inc.",Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-02141,OLA,4/2/14,Council on American-Islamic Relations,Duplicate Request: Documents were referred by OPR in response to a request already being processed by OIP; Referred documents were incorporated into ongoing processing under original OIP tracking number,,
FOIA-2013-03231,OAG,4/3/14,Records pertaining to the Obama administration's use of unmanned drones against American citizens,Request Withdrawn,,
FOIA-2013-03337,ODAG,4/3/14,Records pertaining to the Obama administration's use of unmanned drones against American citizens,Request Withdrawn,,
FOIA-2014-01935,OIP,4/3/14,Records pertaining to Edwin Paul Wilson,"Referred requester and/or request to more appropriate entities (FBI, EOUSA, CRM, NARA); Provided requester with DOJ Reference Guide",,
FOIA-2014-01942,OIP,4/3/14,Records pertaining to Environment Protection Agency statuses for certain real property,Referred requester and/or request to more appropriate entity (EPA),,
FOIA-2014-02022,OIP,4/3/14,Records of the West Virginia State criminal court system and West Virginia State Police,Provided requester with DOJ Reference Guide; Provided other relevant information and assistance,,
FOIA-2012-00839,OAG,4/4/14,"All communications between Department of Justice officials or between Department of Justice officials and the White House concerning an April 5, 2012 letter from the Attorney General concerning Physician Hospitals of America v. Sebelius",Partial Grant/Partial Denial,(b)(5); (b)(6),Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2014-00308,OIP,4/4/14,"Office of Information Policy ""briefing materials"" created to respond to a February 4, 2013 letter from the House Congressional Committee on Oversight and Government Reform",Full Grant,,
FOIA-2014-01979,OLA,4/4/14,Copy of the Department's second periodic report pertaining to the use of the state secrets privilege,No Records,,
FOIA-2014-00311,OAG,4/7/14,"Summaries of memoranda addressed to the Attorney General or Deputy Attorney General since June 1, 2013",Request withdrawn for fee related reasons,,
FOIA-2014-00312,ODAG,4/7/14,"Summaries of memoranda addressed to the Attorney General or Deputy Attorney General since June 1, 2013",Request withdrawn for fee related reasons,,
FOIA-2014-02233,OIP,4/7/14,Submitting a complaint regarding Amtrak,Provided relevant information and assistance,,
FOIA-2014-02234,OIP,4/7/14,Requesting assistance in filing a complaint against the Office of the Attorney General for the State of Indiana,Provided relevant information and assistance,,
FOIA-2010-01223,OAG,4/8/14,"Information regarding the investigation of eleven Russian agents, ten of whom were arrested on June 27, 2010, and deported on July 9, 2010",Full Denial/Partial Referral:  Records referred to FBI for further review; Directed requester to additional material which has already been made available on the Department's website,(b)(5),Certain inter- and intra-agency communications protected by legal privileges
