Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2014-02643,OIP,5/1/14,Copy of the booking photo associated with the arrest of a third party,Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-02476,ODAG,5/2/14,List of names of federal prisoners gathered by the Department of Justice that are potential candidates for executive clemency,Referred requester and/or request to more appropriate entity (OPA),,
FOIA-2014-02449,OIP,5/6/14,Records pertaining to a third party,Referral: Referred records to more appropriate entity (NSD),,
FOIA-2014-02640,OIP,5/6/14,Records pertaining to a third party,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-02658,OIP,5/6/14,Copy of an OIG Report pertaining to the Boston Marathon Bombings,Full Grant of publicly available material,,
FOIA-2014-02684,OIP,5/6/14,"Information regarding an ""intent to prosecute"" form",Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2011-00133,OAG,5/7/14,"Records pertaining to Soviet espionage in the U.S. during WWII as it relates to Lend Lease aircraft, aviation research and radar technologies",Referred requester and/or request to more appropriate entity (FBI & NSD),,
FOIA-2013-02098,OAG,5/7/14,"Records of correspondence between Attorney General Eric Holder and the European Commission, in regard to the European Data Protection Reform Package, between September 2011 and February 19, 2013",No Records,,
FOIA-2014-02289,OIP,5/7/14,Records pertaining to the investigation that resulted in a criminal fraud charge against Toyota Motor Corporation,"Referred requester and/or request to more appropriate entity (EOUSA, FBI, DOT & NHTSA)",,
FOIA-2014-02586,OLP,5/7/14,Presidential Commission for Judge Danny Reeves,Full Grant,,
FOIA-2014-02650,OIP,5/7/14,Documents from United States Attorney Michael Cotter,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2012-00310,OASG,5/8/14,"Records of communications between the DOJ and White House/Executive Office of the President concerning the DOJ’s proposed rule, published in the Federal Register on March 21, 2011, to revise the Department’s FOIA regulations",Documents determined to be of primary interest to another Department component (OIP),,
FOIA-2014-02505,OIP,5/8/14,"Chief FOIA Officer reports submitted by the Department of Homeland Security (DHS), Customs and Border Protection (CBP), Immigration and Customs Enforcement (ICE), and United States Secret Service (USSS)",Full Grant,,
FOIA-2014-02581,OIP,5/8/14,Copies of the Freedom of Information Act Reference Guide and Consumer Action Booklet,Full Grant,,
FOIA-2014-02587,OIP,5/8/14,Listing of all Freedom of Information Act contacts within the federal government,Full Grant,,
FOIA-2014-02716,OIP,5/8/14,Copy of the complete police report made by the Dallas Police Department for the City of Dallas for a specified assault against a minor,Provided relevant information and assistance,,
FOIA-2013-03052,OAG,5/9/14,"Records relating to “the U.S. Government’s planning for, communications relating to, and decisions concerning, establishing and/or conducting at the U.S. Navy Base, Guantanamo Bay, Cuba, rehabilitation programs for prisoners""",Request Withdrawn:  Information previously provided to requester satisfied the request,,
FOIA-2014-02774,OIP,5/9/14,Records pertaining to an individual's court case,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2013-02332,OLA,5/12/14,"Copies of correspondence between the Department of Justice and John Cornyn during his tenure as U.S. Senator, Texas Attorney General, Texas Supreme Court Member, or Texas 37th District Court Judge, from 1991 to February 23, 2013",Request Withdrawn,,
FOIA-2014-02685,OIP,5/12/14,Records pertaining to case CV-13-02102-PHX-GMS in the District Court of Arizona,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-02710,OIP,5/12/14,Immigration records related to a third party,Referred requester and/or request to more appropriate entity (EOIR),,
FOIA-2014-02775,OIP,5/12/14,Seeking the contents of requester's immigration case file,Referred requester and/or request to more appropriate entity (EOIR),,
FOIA-2014-02785,OIP,5/13/14,Communications between Assistant United States Attorney Jerrob Duffy and a secret agent pertaining to a third party,Referred requester and/or request to more appropriate entity (EOUSA & US Secret Service); Provided other relevant information and assistance,,
FOIA-2014-02555,OIP,5/15/14,"Records related to a June 17, 2008 incident between two named individuals and the Bureau of Indian Affairs Police",Referred requester to more appropriate entity (Department of Interior Bureau of Indian Affairs),,
FOIA-2014-02584,OIP,5/15/14,Records of correspondence between certain members of the House of Representatives and certain Department of Commerce officials,Determined that records were improperly referred to OIP and forwarded records to EOUSA for further review,,
FOIA-2014-02682,OIP,5/15/14,Records pertaining to a third party,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2014-02733,OIP,5/15/14,"Copies of (1) Department of Justice issued ""Moorish Credentials"" and (2) Executive Order 12107 entitled ""Implementation of Human Rights Treatises""",Provided requester with a copy of Executive Order 12107; Provided DOJ Reference Guide and other relevant information and assistance,,
FOIA-2014-02763,OIP,5/15/14,Records pertaining to a federal defendant,"Referred requester and/or request to more appropriate entity (EOUSA, USMS & BOP)",,
FOIA-2014-02797,OIP,5/15/14,Records regarding the investigation of American Paramount and associated individuals relating to the federal case 13-CR-00690,Referred requester and/or request to more appropriate entity (FBI & IRS),,
FOIA-2014-02600,OAG,5/16/14,Lists and notices submitted to the Attorney General pursuant to 15 U.S.C. § 376a(e)(6)(A),Referred requester and/or request to more appropriate entity (ATF),,
FOIA-2014-02770,OIP,5/16/14,"Guidance to make a Freedom of Information Act request, a copy of the Freedom of Information Act directory for all departments within the federal government, and the contact information for state offices",Provided requester with DOJ FOIA Reference Guide and FOIA contact information; Provided other relevant information and assistance,,
FOIA-2014-02782,OIP,5/16/14,"A copy of an awarded grant proposal for the Second Chance Act Utilizing Mentors, CFDA 16.812",Referred requester and/or request to more appropriate entity (OJP),,
FOIA-2014-02788,OIP,5/19/14,Records pertaining to the case United States v. Lee Bentley Farkas,"Referred requester and/or request to more appropriate entity (CRM, FBI & EOUSA)",,
FOIA-2014-02790,OIP,5/19/14,"All documents, dated June 2001 through December 2005, pertaining to criminal case CR 04-1191-JFW, C.D. Cal., FBI ID # 272B-LA-228595.","Referred requester and/or request to more appropriate entity (IRS, USPS, EOUSA & FBI)",,
FOIA-2014-02809,OIP,5/19/14,Records pertaining to an investigation of the Toyota Motor Corporation,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-02585,OLA,5/20/14,"Copies of internal memoranda and correspondence regarding rules and regulations for the prescribing and administering of pain medication in nursing homes and long term care facilities, as well as the Nursing Home Resident Pain Relief Act of 2011",Referred records determined to be not responsive to the request after review by OIP,,
FOIA-2014-02826,OIP,5/20/14,Records pertaining to two court cases,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-02616,OIP,5/21/14,Claim information regarding an incident,Provided relevant information and assistance,,
FOIA-2014-02635,OIP,5/21/14,Federal grand jury records related to the January 1978 burglary of the home of deceased Chicago Outfit boss Anthony Accardo,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-02715,OIP,5/21/14,"Various Federal Bureau of Investigation (FBI) records involving former Attorney General Robert Kennedy, including correspondence between Kennedy and former FBI Director J. Edgar Hoover, as well as other records from the 1960s","Referred requester and/or request to more appropriate entity (FBI, NARA & JFK Library)",,
FOIA-2014-02816,OLA,5/22/14,"Updated version of the Senate Select Committee on Intelligence's report Study of the Central Intelligence Agency’s Detention and Interrogation Program cited in an April 7, 2014 letter from Committee Chair Dianne Feinstein to President Barack Obama",Referred requester and/or request to more appropriate entity (CIA),,
FOIA-2014-02732,OIP,5/23/14,Records pertaining to a federal court case,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-02800,OIP,5/23/14,Certain records pertaining to the FBI Hostage Rescue Team and OIG audits,Referred requester and/or request to more appropriate entity (FBI & OIG),,
FOIA-2013-02100,OLA,5/27/14,"Copies of correspondence from or on behalf of Lieutenant Governor Mead Treadwell, including offices previously held by Lt. Gov. Treadwell, to the Department of Justice between January 1, 1990 and February 8, 2013",No Records,,
FOIA-2013-02574,OLA,5/27/14,"Requested copies of correspondence between Representative Michael Honda, Representative Anna Eshoo, Representative Zoe Lofgren, and the Department of Justice",Request Withdrawn,,
FOIA-2014-02807,OIP,5/27/14,Information pertaining to a federal court case,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-02808,OIP,5/27/14,Information pertaining to a federal court case,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-01350,OIP,5/28/14,Records pertaining to the Commission on the Truth for El Salvador,Referral: Referred records to more appropriate entity (EOUSA),,
FOIA-2014-01968,OIP,5/28/14,Records pertaining to a July 2010 court case in the Eastern District of New York,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-01975,OIP,5/28/14,Records pertaining to a third party,Referred requester and/or request to more appropriate entity (BOP),,
FOIA-2014-01976,OIP,5/28/14,Records pertaining to a third party,Referred requester and/or request to more appropriate entity (BOP),,
FOIA-2014-02663,OAG,5/28/14,"Attorney General memorandum dated April 24, 1990 regarding refugee processing and the Lautenberg Amendment","Referred requester and/or request to more appropriate entity (NARA, USCIS)",,
FOIA-2014-02867,OIP,5/28/14,Requesting assistance in locating an unnamed individual,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2014-02869,OIP,5/28/14,"Copies of subpoenas regarding any investigations into Cover Oregon, the Oregon Health Authority, or the Oregon Health Insurance Exchange Corporation",Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-01996,OIP,5/29/14,"Records concerning the FOIA fee category for requests submitted by MuckRock or the FOIA Group, Inc.",Determined that records were improperly referred and returned records back originating agency ,,
FOIA-2014-02868,OIP,5/29/14,FOIA contact information for the Federal Aviation Administration,Full Grant,,
FOIA-2014-02984,OIP,5/29/14,"All records pertaining to the USAO investigation into Questcor Pharmaceuticals Inc. by the Eastern District of Pennsylvania, the Southern District of New York, and the SEC",Referred requester and/or request to more appropriate entity (EOUSA),,
