Request           Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption Applied (if applicable),Description of Exemption (if applicable)
FOIA-2010-01141,OAG,3/1/12,"Correspondence between Gov. Bill Richardson, or any of his representatives, regarding the investigation, indictment, or ending of the grand jury investigation into Gov. Richardson's alleged involvement with CDR Financial Products, Inc.","Partial Denial/Partial Referral: Documents referred to the Executive Office for United States Attorneys and Office of Professional Responsibility, DOJ, for processing and direct response to the requester",(b)(5),Certain inter- and intra-agency communications protected by legal privileges
FOIA-2012-00386,OIP,3/1/12,"Copies of FOIA Post updates since 1979, the FOIA Guide, FOIA Case List, and Privacy Act Overview",Partial Grant/Advised requester of duplication fees for further processing,,
FOIA-2012-00422,OAG,3/1/12,Records pertaining to an article on alleged corruption in the U.S. Virgin Islands.,Full Denial,(b)(5); (b)(6); (b)(7)(C),"Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party;  Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party"
FOIA-2010-00088,ODAG,3/2/12,"Records and information pertaining to the Department of Justice’s Early Disposition Programs, also known as “fast-track sentencing programs”",Partial Grant/Partial Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges
FOIA-2011-00958,OAG,3/7/12,Records concerning a six-boat flotilla headed to the Gaza Strip which was intercepted by the Israeli Defense Forces in the Mediterranean Sea in May 2010,Partial Grant/Partial Denial,(b)(5); (b)(6),Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2012-00481,OIP,3/12/12,Records on Ted Bundy,"Other: Determined that the FBI was the most appropriate entity for handling, and referred requester to the FBI",,
FOIA-2012-00491,OIP,3/13/12,Information pertaining to the destruction of certain DEA records,"Other: Determined that the DEA was the most appropriate entity for handling, and referred requester to the DEA",,
FOIA-2012-00474,OIP,3/13/12,Copy of the USA PATRIOT Act,Full Grant,,
FOIA-2011-00790,OAG,3/15/12,"All records concerning the government's interpretation or use of section 215 of the PATRIOT Act from March 9, 2006 to the present",Partial Grant/Partial Denial,(b)(1); (b)(5),Information that is classified by Executive Order to protect national security; Certain inter- and intra-agency communications protected by legal privileges
FOIA-2011-00791,ODAG,3/15/12,"All records concerning the government's interpretation or use of section 215 of the PATRIOT Act from March 9, 2006 to the present",Partial Grant/Partial Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges
FOIA-2011-00792,OASG,3/15/12,"All records concerning the government's interpretation or use of section 215 of the PATRIOT Act from March 9, 2006 to the present",Partial Grant/Partial Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges
FOIA-2011-00793,OLA,3/15/12,"All records concerning the government's interpretation or use of section 215 of the PATRIOT Act from March 9, 2006 to the present",Partial Grant/Partial Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges
FOIA-2012-00285,OAG,3/15/12,"Records pertaining to eight National Security Council meetings between March 14, 2011, and May 1, 2011, possibly attended by Attorney General Eric Holder, Jr. allegedly concerning the potential location of Osama bin Laden in Abbottabad, Pakistan",No Records,,
FOIA-2012-00446,OLA,3/15/12,"Records from January 1, 2011 to the present on the deletion or removal of Twitter accounts or any other social networking accounts associated with al-Shabaab, the Taliban, or because of its association with a particular group",No Records,,
FOIA-2012-00484,OAG,3/16/12,Records pertaining to two death row inmates,Full Grant,,
FOIA-2012-00538,OLA,3/16/12,"Records submitted to U.S. Senate Subcommittee on Contracting Oversight regarding public relations, publicity, advertising, communications, or similar services",No Records,,
