Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),
FOIA-2013-00071,OIP,11/1/12,"FBI Field Office Contact Information for Illinois, Iowa, Tennessee, and Wisconsin",Provided requester with a copy of the DOJ FOIA Reference Guide as well as publicly listed addresses for the requested FBI field offices ,,,
FOIA-2013-00077,OIP,11/2/12,"Information on how to use the Freedom of Information Act, as well as information about the Executive Office for United States Attorneys",Provided requester with a copy of the DOJ FOIA Reference Guide and link to FOIA.gov for information on the FOIA; Informed requester that contact information for the Executive Office for United States Attorneys could be found in the Reference Guide,,,
FOIA-2013-00349,OAG,11/2/12,"Copies of reports concerning intercepted wire, oral, or electronic communications","Determined that the Criminal Division, DOJ, was the most appropriate entity for handling, and referred requester to that component for processing",,,
FOIA-2013-00351,OLP,11/5/12,"Presidential Commission, Appointment Affidavit, Oath of Office, and Senate confirmation for United States Appellate Court Judge Christopher F. Droney",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2012-01398,OIP,11/6/12,Records pertaining to a civil case file din the United States District Court for the Southern District of Florida ,"Determined that the Civil Division and the Executive Office for United States Attorneys, DOJ, were the most appropriate entities for handling, and referred request and requester to those components for processing",,,
FOIA-2013-00086,OIP,11/6/12,Seeking information on various topics including tax liability,"Determined that the Internal Revenue Service was the most appropriate entity for handling, and referred requester to that entity for processing",,,
FOIA-2013-00332,OIP,11/6/12,Seeking salary information for various Sheriff Offices in Texas,Informed requester that the FOIA does not apply to state or local records and is not applicable to this query; Provided requester with contact information for the state of Texas and National Sheriff's Organization,,,
FOIA-2013-00506,OIP,11/6/12,Information about the operations and workings of the U.S. Supreme Court,"Provided requester with website link and contact information for the U.S. Supreme Court, and directed requester to information, including copies of Supreme Court briefs, available on the website of the Office of the Solicitor General, DOJ ",,,
FOIA-2013-00081,OIP,11/8/12,Copies of certain correspondence pertaining to the Federal Bureau of Prisons,No Records,,,
FOIA-2013-00338,OIP,11/8/12,"Information pertaining to the Freedom of Information Act, as well as information pertaining to ""the federal noise abatement policy""",Provided requester with link to FOIA resources on OIP website and on FOIA.gov; Determined that the Federal Aviation Administration was also an appropriate entity for handling and referred requester to that agency for processing,,,
FOIA-2013-00345,OIP,11/8/12,Requesting assistance with a court case,"Informed requester that the FOIA is a records access statute and not applicable to this query, and if seeking legal assistance, that requester should retain private counsel; Determined that if requester sought records regarding a court case that the Executive Office for United States Attorneys, DOJ, would be the most appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2013-00471,OIP,11/8/12,"Seeking information on ""quotation numbered RFQP0700FAO1300001 by Unarmed and Armed Guard Services for Thomson Correctional Center""","Determined that the Federal Bureau of Prisons, DOJ, was the most appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2010-01424,OAG,11/9/12,"Correspondence dated since January 21, 2009, from the Office of the Attorney General to former Federal Bureau of Prisons Director Harley Lappin",Partial Grant/Partial Denial,(b)(5); (b)(6); (b)(7)(C); (b)(7)(D),"Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to disclose the identity of a confidential source",
FOIA-2011-00023,OAG,11/9/12,Records regarding the assessment of illegally exported information to China,Full Denial,(b)(1),Information that is classified by Executive Order to protect national security,
FOIA-2012-00767,OAG,11/9/12,"Communications between the Attorney General (AG) or his staff and outside entities relating to the AG's December 13, 2011, speech at the Lyndon Baines Johnson Library and Museum, as well as documents pertaining to the Department's ""policy shift to vigorously challenge state voter identification laws""",No Records,,,
FOIA-2012-01131,OAG,11/9/12,List of the individuals and/or organizations who made FOIA requests to the Office of the Attorney General during Fiscal Year 2011,Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2012-01444,OAG,11/9/12,Records pertaining to the Department of Homeland Security’s decision to exercise prosecutorial discretion with respect to individuals who came to the United States as children,Full Grant,,,
FOIA-2012-01445,ODAG,11/9/12,Records pertaining to the Department of Homeland Security’s decision to exercise prosecutorial discretion with respect to individuals who came to the United States as children,Full Grant,,,
FOIA-2013-00551,OIP,11/9/12,Security footage from a Boston area Post Office,"Determined that the United States Postal Service was the most appropriate entity for handling, and referred requester to that agency for processing",,,
FOIA-2013-00507,OLP,11/12/12,"Records pertaining to U.S. District Court Judges Audrey G. Fleissig, Jean C. Hamilton, U.S. Magistrate Judge David D. Noce, several government officials and a specific court case ",Duplicate Request: Request was already in process at OIP for same requester,,,
FOIA-2013-00508,OAG,11/12/12,"Records pertaining to U.S. District Court Judges Audrey G. Fleissig, Jean C. Hamilton, U.S. Magistrate Judge David D. Noce, several government officials and a specific court case",Duplicate Request: Request was already in process at OIP for same requester,,,
FOIA-2011-00764,ODAG,11/13/12,"Records on the Executive Branch's position on ""intracircuit nonacquiescence"" by administrative agencies, and communications between the Department of Justice and the Department of Defense regarding the application of Witt v. Air Force to discharges of members of the armed services",Full Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2012-01456,OIP,11/13/12,Seeking the status of an Equal Employment Opportunity complaint,"Determined that the Equal Opportunity Employment Commission was the most appropriate entity for handling, and referred requester to that agency for processing",,,
FOIA-2013-00539,OIP,11/13/12,Records regarding a third party,"Determined that the FBI was the most appropriate entity for handling, and referred requester to that component for processing",,,
FOIA-2013-00567,OAG,11/13/12,"Seeking records contained in specific DOJ files regarding civil rights violations in Brownsville, Tennessee in May and June 1940","Determined that the Civil Rights Division, DOJ, was the most appropriate entity for handling, and referred requester to that component for processing",,,
FOIA-2013-00079,OIP,11/14/12,"Records that document Meyer Lansky's dealings with the Cuban government, the U.S. Embassy in Cuba, and his business holdings in Cuba",Determined that records were improperly referred to OIP for processing and referred records to the proper component for handling ,,,
FOIA-2013-00116,OIP,11/14/12,Records pertaining to the United States Attorney's Office prosecution of a third party,"Determined that the U.S. Citizenship and Immigration Services, DHS, and the Executive Office for United States Attorneys, DOJ, were the most appropriate entities for handling, and referred requester to those offices for processing ",,,
