Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2010-01375,ODAG,8/1/14,Records related to the creation of the National Security Division (NSD),Partial Grant/Partial Denial,(b)(6); (b)(7)(C) ,"Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party"
FOIA-2014-03727,OIP,8/4/14,Contact information for the Office of the Attorney General,Full Grant,,
FOIA-2014-03715,OIP,8/5/14,"Copy of final report ""PRU file no FWS-2013-55""",Determined that records were improperly referred and forwarded records to EOUSA for further review,,
FOIA-2014-03718,OIP,8/5/14,Information pertaining to a state court case,Provided relevant information and assistance,,
FOIA-2014-03771,OIP,8/5/14,Seeking assistance on personal matters and on how to file criminal charges,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2014-03842,OIP,8/5/14,Information pertaining an individual's Bank of America mortgage,Provided relevant information and assistance,,
FOIA-2014-03867,OAG,8/5/14,"Copy of the August 12, 2013 Attorney General memorandum on the Department policy on charging mandatory minimum sentences and recidivist enhancements in certain drug cases, amendment 782, and Budget Control Act of 2010",Full Grant,,
FOIA-2014-01235,OASG,8/6/14,Records pertaining to the Buffalo/Niagara Falls Cosa Nostra,Full Denial,(b)(3); (b)(5); (b)(6); (b)(7)(C) ,"Information that is prohibited from disclosure by another federal law; Certain inter- and intra-agency communications protected by legal privileges; Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party"
FOIA-2014-03943,OIP,8/6/14,Records pertaining to a third party,Provided relevant information and assistance,,
FOIA-2014-03944,OIP,8/6/14,Requesting records pertaining to a third party,Provided relevant information and assistance,,
FOIA-2014-03866,OIP,8/8/14,Information on how to file a complaint,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2014-04051,OIP,8/8/14,"Transcript of a conversation between the Federal Bureau of Investigation and former Forsyth, Georgia, city council member James Calloway",Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2013-00044,PAO,8/11/14,Copies of communication between Tracy Schmaler and employees of and representatives of Media Matters for America or Media Matters Action Network ,Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2014-03685,OIP,8/11/14,"A copy of an appeal letter dated March 5, 2014",Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2014-03870,OAG,8/11/14,Records pertaining to William Leonard Laurence (deceased),Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-03915,OIP,8/11/14,A listing of all bargaining unit eligible employees from DOJ and DHS's Customs and Border Protection,Referred requester and/or request to more appropriate entity (JMD and DHS's CBP),,
FOIA-2014-03916,OIP,8/11/14,A listing of all bargaining unit eligible employees from DOJ and DHS's Customs and Border Protection,Referred requester and/or request to more appropriate entity (JMD and DHS's CBP),,
FOIA-2014-04014,OIP,8/11/14,Records concerning the murder of Burton Stuart Isaacs,Provided relevant information and assistance,,
FOIA-2014-04022,OIP,8/11/14,Records pertaining to third parties,Provided relevant information and assistance,,
FOIA-2014-04023,OIP,8/11/14,Records pertaining to third parties,Provided relevant information and assistance,,
FOIA-2014-04025,OIP,8/11/14,Records pertaining to third parties,Provided relevant information and assistance,,
FOIA-2014-04052,OIP,8/11/14,Records pertaining to third parties,Provided relevant information and assistance,,
FOIA-2014-04059,OIP,8/11/14,Records pertaining to a third party,Provided relevant information and assistance,,
FOIA-2014-04060,OIP,8/11/14,Records pertaining to a third party,Provided relevant information and assistance,,
FOIA-2014-04065,OIP,8/11/14,Records pertaining to third parties,Provided relevant information and assistance,,
