Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),
FOIA-2012-00219,ODAG,9/3/13,Records of communication between certain advocacy organizations and any employee of the Department of Justice relating to proposed or suggested changes or modifications to the Foreign Corrupt Practices Act of 1977,Partial Grant/Partial Denial,"(b)(6), (b)(7)(C) ","Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party",
FOIA-2012-01443,OIP,9/3/13,Copies of records pertaining to communications between the Office of Special Counsel (OSC) and the Office of Information Policy concerning the administration of the FOIA at the OSC,Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2013-03019,OLP,9/3/13,Records pertaining to “creditor funded recapitalization”,No Records,,,
FOIA-2013-04454,OAG,9/3/13,Communications generated during the Internet debate/discussion for declassifying and releasing information regarding the fact that Yahoo was the petitioner in a secret court case related to the National Security Agency's PRISM program,Request withdrawn for fee related reasons,,,
FOIA-2013-04457,OIP,9/3/13,FOIA Case log for 2011-2012,Request withdrawn for fee related reasons,,,
FOIA-2013-04763,OIP,9/3/13,"First 200 pages of emails received by Melanie Ann Pustay, Director of the Office of Information Policy, that contain the word “FOIA” between July 1, 2012 and November 1, 2012",Request withdrawn for fee related reasons,,,
FOIA-2013-04764,OIP,9/3/13,"Copy of the Administrative Appeals Log for the years 2011, 2012 and 2013 to date",Request withdrawn for fee related reasons,,,
FOIA-2013-04823,OIP,9/3/13,"Copy of the first 200 pages of emails received by Melanie Ann Pustay, Director of the Office of Information Policy, that contain the word “FOIA” between July 1, 2012 and November 1, 2012",Request withdrawn for fee related reasons,,,
FOIA-2010-01177,OAG,9/4/13,"Records from January 20, 2009 regarding (1) guidance or recommendations made by the Department of Justice about discussions of administration appointments by White House Staff, or persons acting on behalf of the White House staff, (2) any investigation, inquiry  or review by the Department about those discussions",Provided requester with publicly available information on the DOJ website,,,
FOIA-2013-00676,OAG,9/4/13,"All documents regarding (1) subpoenas issued to the Department or to any sub-division of the Department; and/or (2) the processing, response to, or management of all subpoenas issues to the Department or to any sub-division of the Department",Request Withdrawn by Requester,,,
FOIA-2013-00677,ODAG,9/4/13,"All documents regarding (1) subpoenas issued to the Department or to any sub-division of the Department; and/or (2) the processing, response to, or management of all subpoenas issues to the Department or to any sub-division of the Department",Request Withdrawn by Requester,,,
FOIA-2013-02893,ODAG,9/4/13,"Documents relating to Sensitive Coverage, or Wiretapping, Placed at the Request of the White House, aka Specov",Partial Grant/Partial Denial,"(b)(6), (b)(7)(C) ","Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party",
FOIA-2013-03189,OAG,9/4/13,Records concerning Donald Frederick Peters (1919-2005),Full Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2013-04099,ODAG,9/4/13,Records relating to former Deputy Attorney General Peter Flaherty,Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2013-04165,OAG,9/4/13,Records of correspondence between United States Senator Mark Pryor and the Department of Justice,Full Grant,,,
FOIA-2013-04166,OLA,9/4/13,Records of correspondence between United States Senator Mark Pryor and the Department of Justice,Full Grant,,,
FOIA-2013-04515,OLP,9/4/13,"Records for any and all ""public comments"" submitted by various organizations pertaining to Attorney General Order No. 3244 (""The National Standard to Prevent, Detect and Respond to Prison Rape"")",Partial Grant/Partial No Records,,,
FOIA-2013-04516,OAG,9/4/13,"Information about the J. Edgar Hoover Building, from 1960-1976","Full Grant/Partial Referral: Documents referred to the Justice Management Division, DOJ, for processing and direct response to the requester",,,
FOIA-2013-04517,ODAG,9/4/13,"Information about the J. Edgar Hoover Building, from 1960-1976","Full Grant/Partial Referral: Documents referred to the Justice Management Division, DOJ, for processing and direct response to the requester",,,
FOIA-2013-04715,OAG,9/4/13,"Records pertaining to a criminal case, and a copy of a notice or memorandum issued by the Attorney General on the use and application of federal statute 924(c)",No Records: Provided requester publicly available online materials for reference,,,
FOIA-2013-03018,OAG,9/5/13,Records pertaining to “creditor funded recapitalization” of failed financial institutions,No Records,,,
FOIA-2013-03759,OAG,9/5/13,Correspondence with former Michigan Secretary of State Terri Lynn Land and the Department of Justice from January 2013 to the present,Full Grant,,,
FOIA-2013-03760,ODAG,9/5/13,Correspondence with former Michigan Secretary of State Terri Lynn Land and the Department of Justice from January 2013 to the present,Full Grant,,,
FOIA-2013-03761,OASG,9/5/13,Correspondence with former Michigan Secretary of State Terri Lynn Land and the Department of Justice from January 2013 to the present,Full Grant,,,
FOIA-2013-04694,OIP,9/5/13,"Records regarding Brazilian Brigadier General Nilo Caneppa da Silva, also known as Niles Caneppa da Silva, General Caneppa, and Brigadier General Caneppa from 1964-1985","Determined that Departments of Defense and State, Central Intelligence Agency, Johnson Presidential Library, and the National Archives and Records Administration were the most appropriate entities for handling and referred requester to those entities for processing",,,
FOIA-2013-04979,OIP,9/5/13,Records relating to a mortgage fraud case involving Larry Reisman and Faye Hill,"Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2013-04984,OAG,9/5/13,Communications between the Justice Department and outside entities concerning sequestration,Duplicate Request: Documents were referred by another entity in response to a request already being processed by OIP; Referred documents were incorporated into ongoing processing under original OIP tracking number,,,
FOIA-2013-04986,ODAG,9/5/13,Communications between the Justice Department and outside entities concerning sequestration,Duplicate Request: Documents were referred by another entity in response to a request already being processed by OIP; Referred documents were incorporated into ongoing processing under original OIP tracking number,,,
FOIA-2013-04987,OLA,9/5/13,Communication between Justice Department and outside entities concerning sequestration,Duplicate Request: Documents were referred by another entity in response to a request already being processed by OIP; Referred documents were incorporated into ongoing processing under original OIP tracking number,,,
FOIA-2013-04996,OAG,9/5/13,"Copy of the Report to the Attorney General on The Admission of Criminal History [sic] at Trial dated August 14, 1986",Full Grant,,,
FOIA-2012-00076,OAG,9/6/13,Copies of all notices of proposed settlements submitted to the Attorney General under the Class Action Fairness Act,Full Grant,,,
FOIA-2012-00881,OASG,9/6/13,"Communications with Nancy-Ann DeParle or any other member of the Obama administration, or any third party regarding the development and implementation of ""alternative administrative measures""",No Records,,,
FOIA-2013-03148,OIP,9/6/13,Records pertaining to a third party,"Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2013-04161,OAG,9/6/13,Records pertaining to Operation Fast and Furious,Full Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2013-04162,OLA,9/6/13,Records pertaining to Operation Fast and Furious,Full Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2013-04737,OAG,9/6/13,Copies of any email or written correspondence related to the National Mortgage Settlement that involve Oklahoma Attorney General Scott Pruitt and/or the state and residents of Oklahoma,No Records,,,
FOIA-2013-04913,ODAG,9/6/13,Copies of any email or written correspondence related to the National Mortgage Settlement that involve Oklahoma Attorney General Scott Pruitt and/or the state and residents of Oklahoma,No Records,,,
FOIA-2013-04914,OASG,9/6/13,Copies of any email or written correspondence related to the National Mortgage Settlement that involve Oklahoma Attorney General Scott Pruitt and/or the state and residents of Oklahoma,No Records,,,
FOIA-2012-01317,OAG,9/9/13,Contents of an FBI file,Duplicate Request: Documents were referred by another entity in response to a request already being processed by OIP; Referred documents were incorporated into ongoing processing under original OIP tracking number,,,
FOIA-2012-01318,ODAG,9/9/13,Contents of an FBI file,Duplicate Request: Documents were referred by another entity in response to a request already being processed by OIP; Referred documents were incorporated into ongoing processing under original OIP tracking number,,,
FOIA-2013-00408,OAG,9/9/13,Contents of an FBI file,Duplicate Request: Documents were referred by another entity in response to a request already being processed by OIP; Referred documents were incorporated into ongoing processing under original OIP tracking number,,,
FOIA-2013-00413,OAG,9/9/13,Contents of an FBI file,Duplicate Request: Documents were referred by another entity in response to a request already being processed by OIP; Referred documents were incorporated into ongoing processing under original OIP tracking number,,,
FOIA-2013-00881,OAG,9/9/13,Records pertaining to Hank Greenspun (deceased),"Determined that records were improperly referred to OIP for processing and forwarded records to the National Security Division, DOJ, for further processing",,,
