Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),
FOIA-2011-00562,OLA,5/1/13,Reports for the years of 2009 and 2010 pertaining to the Prison Rape Elimination Act that were submitted to Congress,"Provided requester with publicly available online reports from DOJ's website; Determined that the Federal Bureau of Prisons and the Office of Justice Programs, DOJ, were also appropriate entities for handling and referred requester to those components for processing",,,
FOIA-2013-02679,OAG,5/1/13,Records concerning James Allegretti (deceased),"Full Grant: One document referred to the Tax Division, DOJ, for processing and direct response to the requester",,,
FOIA-2013-02680,OAG,5/1/13,Records concerning James Allegretti (deceased),"Full Grant: One document referred to the Tax Division, DOJ, for processing and direct response to the requester",,,
FOIA-2011-00554,OLA,5/2/13,"Correspondence between all members of Congress and the Department of Justice dating from January 1, 2011",Request Withdrawn by Requester,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2011-01046,OAG,5/2/13,"Records from January 1, 2010 to the present regarding the planned acquisition of British Sky Broadcasting Ltd by News Corporation, alleged criminal acts by employees of News Corporation and any action by the Department, as well as communications between Taconic Capital Advisors LP, Taconic Capital Partners Inc., Mr. Frank Brosens and e-mails to or from ""@taconiccap.com""",Duplicate Request: Copy of request received from another component is a duplicate of a request already in process at OIP from same requester,,,
FOIA-2011-01047,ODAG,5/2/13,"Records from January 1, 2010 to the present regarding the planned acquisition of British Sky Broadcasting Ltd by News Corporation, alleged criminal acts by employees of News Corporation and any action by the Department, as well as communications between Taconic Capital Advisors LP, Taconic Capital Partners Inc., Mr. Frank Brosens and e-mails to or from ""@taconiccap.com""",Duplicate Request: Copy of request received from another component is a duplicate of a request already in process at OIP from same requester,,,
FOIA-2013-02359,OAG,5/2/13,Copy of March 15 letter from Attorney General Holder to House Speaker Boehner notifying him that the Solicitor General will not ask the Supreme Court to review the D.C. Circuit decision invalidating a new requirement that graphic warnings appear on all cigarette packaging,Request withdrawn for fee related reasons,,,
FOIA-2013-02746,OIP,5/2/13,Requested a copy of a Freedom of Information Act file,"Provided requester with a copy of the DOJ FOIA Reference Guide to help refine request, as specific records being sought could not be identified",,,
FOIA-2013-02769,OAG,5/2/13,"Investigatory records pertaining to certain aircraft, various named pilots, and the company ""American Jet International""",Determined that FAA was the most appropriate entity for handling and referred requester to that entity for processing,,,
FOIA-2013-02614,OIP,5/3/13,Records pertaining to an investigation into Questrcor's Pharmaceutical's marketing practices,"No Records; Determined that the Executive Office for United States Attorneys, DOJ, was also an appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2013-02749,OIP,5/3/13,Records on a court case,"Provided requester with a copy of the DOJ FOIA Reference Guide to help refine request, as specific records being sought could not be identified; Based on information in request letter, determined that the ATF was an appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2013-02972,OAG,5/3/13,Records pertaining to an investigation into Questrcor's Pharmaceutical's marketing practices,"No Records; Determined that the Executive Office for United States Attorneys, DOJ, was also an appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2013-02973,ODAG,5/3/13,Records pertaining to an investigation into Questrcor's Pharmaceutical's marketing practices,"No Records; Determined that the Executive Office for United States Attorneys, DOJ, was also an appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2013-02974,OASG,5/3/13,Records pertaining to an investigation into Questrcor's Pharmaceutical's marketing practices,"No Records; Determined that the Executive Office for United States Attorneys, DOJ, was also an appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2013-02980,OAG,5/3/13,"Correspondence between the Department of Justice and the House Committee on Oversight and Government Reform concerning or relating to a settlement in Committee on Oversight and Government Reform v. Holder, for the time period Oct 1, 2012 to Mar 20, 2013",Full Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2013-02981,ODAG,5/3/13,"Correspondence between the Department of Justice and the House Committee on Oversight and Government Reform concerning or relating to a settlement in Committee on Oversight and Government Reform v. Holder, for the time period Oct 1, 2012 to Mar 20, 2013",Full Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2013-02982,OASG,5/3/13,"Correspondence between the Department of Justice and the House Committee on Oversight and Government Reform concerning or relating to a settlement in Committee on Oversight and Government Reform v. Holder, for the time period Oct 1, 2012 to Mar 20, 2013",Full Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2013-02983,PAO,5/3/13,"Correspondence between the Department of Justice and the House Committee on Oversight and Government Reform concerning or relating to a settlement in Committee on Oversight and Government Reform v. Holder, for the time period Oct 1, 2012 to Mar 20, 2013",Full Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2013-02984,OLP,5/3/13,"Correspondence between the Department of Justice and the House Committee on Oversight and Government Reform concerning or relating to a settlement in Committee on Oversight and Government Reform v. Holder, for the time period Oct 1, 2012 to Mar 20, 2013",Full Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2013-02985,OLA,5/3/13,"Correspondence between the Department of Justice and the House Committee on Oversight and Government Reform concerning or relating to a settlement in Committee on Oversight and Government Reform v. Holder, for the time period Oct 1, 2012 to Mar 20, 2013",Full Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2012-01393,OAG,5/6/13,Records pertaining to Colorado's proposed Amendment 64,Request Withdrawn by Requester,,,
FOIA-2013-02709,OLP,5/6/13,"Oaths of Office for several individuals, including Judge Richard L. Young of the Southern District of Indiana","Partial Grant/Partial Denial: Also determined that Criminal Division, DOJ, was an appropriate entity for handling and referred request and requester to that component for processing",(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2013-02748,OIP,5/6/13,Requested records on parapsychological phenomena information,"Informed requester that the FOIA is a records access statute and not applicable to this query.  Provided requester with a copy of the DOJ FOIA Reference Guide to help refine request, as specific records being sought could not be identified",,,
FOIA-2013-02743,OIP,5/7/13,"Requested various sections of the “Nondiscrimination on the Basis of Disability in State and Local Government Services,” 28 C.F.R. Part 35 and assistance with a complaint","Provided requester with publicly available copies of the request section of Title 28 of the Code of Federal Regulations, and provided link to DOJ Action Center for information on filing a complaint; Determined that the Civil Rights Division, DOJ, was also an appropriate entity for handling and referred requester to that component for further processing",,,
FOIA-2013-02753,OIP,5/7/13,Copies of Executive Orders 12803 and 13037,Provided requester with publicly available online copies,,,
FOIA-2011-00427,OLA,5/8/13,Copies of certain views letters from the 101th through 109th Congresses,Full Grant,,,
FOIA-2013-02791,OAG,5/8/13,Requested records pertaining to Ogilvy ad campaigns involving federal employees,No Records,,,
FOIA-2013-02792,ODAG,5/8/13,Requested records pertaining to Ogilvy ad campaigns involving federal employees,No Records,,,
FOIA-2013-02793,OASG,5/8/13,Requested records pertaining to Ogilvy ad campaigns involving federal employees,No Records,,,
FOIA-2013-02945,OIP,5/8/13,Information related to the FBI,Determined that the FBI was the most appropriate entity for handling and referred requester to that component for processing,,,
FOIA-2011-00649,OLA,5/10/13,Certification process for State Capital Counsel Systems Proposed Rule,Partial Grant/Partial Denial,(b)(5); (b)(6),Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2013-01336,OLA,5/10/13,Copies of  certain Views Letters from the 107th and 108th Congresses,Full Grant,,,
FOIA-2013-02742,OLP,5/10/13,"Records relating to a United States District Court case, as well as the oaths of office for certain federal judges","Partial Grant/Partial Denial/Partial Referral: determined that ATF, DEA, FBI, and Executive Office for United States Attorneys, DOJ, were also appropriate entities for handling and informed requester that the Mail Referral Unit had already routed the request to those components for processing ",(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
