Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),
FOIA-2013-05382,OLP,10/21/13,"Oaths of office and other appointment documents for Judge Jed S. Rakoff, Judge Laura Taylor Swain, Magistrate Judge Michael Dolinger, Magistrate Judge James C. Francis, and several other individuals",Request Withdrawn by the Requester,,,
FOIA-2013-05131,OIP,10/23/13,Records pertaining to Jasper County South Carolina Judge Carmen Tevis Mullen,Informed requester that the FOIA does not apply to state or local records; Provided contact information for Jasper County Court System,,,
FOIA-2013-05269,OLA,10/23/13,"Records regarding an April 13th federal holiday observing Passover, information on the use of 42 U.S.C. § 1983, 28 U.S.C. § 552, and statutes concerning FOIA and Privacy Act","Provided requester with copies of 42 U.S.C. § 1983, 28 U.S.C. § 552, and statutes concerning FOIA and PA; Determined that the Civil Rights Division, DOJ, and OPM were also appropriate entities for handling and referred requester to those entities for processing",,,
FOIA-2013-05270,OLP,10/23/13,"Records regarding an April 13th federal holiday observing Passover, information on the use of 42 U.S.C. § 1983, 28 U.S.C. § 552, and statutes concerning FOIA and Privacy Act","Provided requester with copies of 42 U.S.C. § 1983, 28 U.S.C. § 552, and statutes concerning FOIA and PA; Determined that the Civil Rights Division, DOJ, and OPM were also appropriate entities for handling and referred requester to those entities for processing",,,
FOIA-2013-05323,OIP,10/23/13,Requested records pertaining to the authorization and approval of an INTERPOL and International Fugitive Warrant Order,"Determined that INTERPOL Washington, DOJ, was the most appropriate entity for handling and referred requester to that entity for processing; Also provided requester paper copy of DOJ FOIA Reference Guide",,,
FOIA-2013-05516,OIP,10/23/13,Records regarding espionage charges against a former employee of the Central Intelligence Agency,"Determined that the Executive Office for United States Attorneys, DOJ, and the National Archives and Records Administration were the most appropriate entities for handling and referred requester to those entities for processing",,,
FOIA-2013-05132,OIP,10/24/13,Copies of various public documents,Full Grant,,,
FOIA-2013-05294,OIP,10/24/13,"Various records pertaining to the actions of an Internal Revenue Service agent, United States Attorneys, and other government officials","Determined that the IRS and the Executive Office for United States Attorneys, DOJ, were the most appropriate entities for handling and referred requester to those entities for processing",,,
FOIA-2013-05329,OIP,10/24/13,Requested records pertaining to a third party,Determined that the FBI  was the most appropriate entity for handling and referred requester to that component for processing,,,
FOIA-2013-05503,OAG,10/24/13,"Copy of the Report to the Attorney General on the Law of Pre-Trial Interrogation, dated February 12, 1986",Full Grant,,,
FOIA-2012-01483,OLA,10/25/13,Records related to cases involving applications and petitions affected by Section 3 of the Defense Marriage Act,Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2013-05122,OIP,10/28/13,"Electronic copies of information that contain the total number of loans, and the number of loans belonging to residents of each state, that received the approximately $1,480 check through the National Mortgage Settlement",Informed requester that the FOIA does not apply to state or local records; directed requester to state Attorneys General for additional information,,,
FOIA-2013-05279,OAG,10/28/13,"Records concerning FBI Director Robert Mueller's February 24, 2010 trip to Pakistan",Documents referred by the office originally processing the request were determined to be not responsive to the request after review by OIP,,,
FOIA-2013-05317,OIP,10/28/13,"Records concerning the trial, sentence, and current contact information of a third party","Determined that the Executive Office for United States Attorneys and the Federal Bureau of Prisons, DOJ, were the most appropriate entities for handling and referred the request and the requester to those components for processing",,,
FOIA-2013-05319,OIP,10/28/13,Information contained within a document from a court case,"Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2013-05336,OIP,10/28/13,Copies of Office of Legal Counsel memoranda from January 2009 to the present concerning the platinum-coin option.,"Determined that the Office of Legal Counsel, DOJ, was the most appropriate entity for handling and referred the request and requester to that component for handling ",,,
FOIA-2013-05338,OIP,10/28/13,"Information from the Public Integrity Section of the Criminal Division regarding the investigation into Utah Attorney John Swallow, former Utah Attorney General Mark Shurtleff, and other associated individuals","Determined that the Criminal Division, DOJ, was the most appropriate entity for handling and referred the request and requester to that component for processing",,,
FOIA-2013-05353,OIP,10/28/13,Records pertaining to a former employee who served as a special assistant to a United States Attorney,"Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2013-05358,OIP,10/28/13,"Requests footage captured by the Kentucky Bureau of Investigation in 2007 and used on NBC ""To Catch A Predator"" program",Informed requester that the FOIA does not pertain to state or local records; Determined that the Kentucky Department of Criminal Investigations was the most appropriate entity for handling provided requester with contact information for that office,,,
FOIA-2013-05361,OIP,10/28/13,Records pertaining to a third party,Determined that the DEA was the most appropriate entity for handling and referred requester to that component for processing,,,
FOIA-2013-05366,OIP,10/28/13,Copy of the settlement between the Department of Justice and MedCath Corporation,"Determined that the Civil Division, DOJ, was an appropriate entity for handling and referred requester to that entity for processing",,,
FOIA-2013-05367,OIP,10/28/13,A copy of the winning grant submission for Office for Victims of Crime (OVC) FY13 Services for Victims of Human Trafficking,"Determined that the Office of Justice Programs, DOJ, was an appropriate entity for handling and referred requester to that entity for processing",,,
FOIA-2013-05368,OIP,10/28/13,Requested information concerning how to file a complaint involving violations of their privacy,"Directed requester to the Department of Justice’s online Action Center, which provides information on how to contact the Department for various purposes, including to submit a complaint, report a crime, or to find a form",,,
FOIA-2013-05371,OIP,10/28/13,All documents referring or relating to a local police investigation,Informed requester that the FOIA does not apply to state or local records; Directed requester to FOIA.gov for federal agency contact information if seeking federal records,,,
FOIA-2013-05373,OIP,10/28/13,Records concerning a specific Drug Enforcement Administration agent,Determined that the DEA was the most appropriate entity for handling and referred requester to that component for processing,,,
FOIA-2013-05375,OIP,10/28/13,Records regarding a previously submitted FOIA request to an unnamed office,Informed requester that they would need to contact the Department component that processed the original request,,,
FOIA-2013-05378,OIP,10/28/13,"Records pertaining to Richardson for President, Inc., formerly known as Bill Richardson for President Exploratory Committee, Inc. maintained by the Executive Office for United States Attorneys","Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2013-05427,OLA,10/28/13,"Department of Justice ""views"" letters from the 112th Congress",Full Grant,,,
FOIA-2013-05492,OIP,10/28/13,"Records pertaining to Colonel John Milton Chivington, the Sand Creek Massacre, and the Third Volunteer Cavalry Regiment of Colorado Territory",Determined that the National Archives and Records Administration was the most appropriate entity for handling and referred requester to that agency for processing,,,
FOIA-2012-01426,PAO,10/29/13,E-mail correspondence between the Office of Public Affairs and seven specific media outlets,Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2013-05180,OIP,10/29/13,Information pertaining to the Americans with Disabilities Act and the Federal Bureau of Prisons,"Determined that Federal Bureau of Prisons and Civil Rights Division, DOJ,  were the most appropriate entities for handing and referred requester to those components for processing",,,
FOIA-2013-05222,OIP,10/29/13,Copies of 28 C.F.R. § 35 and 29 C.F.R. § 1630,Provided requester with publicly available copies of the Code of Federal Regulations,,,
FOIA-2013-05227,OIP,10/29/13,"Records related to any contracts the Department of Justice has with Acxiom Corporation of Little Rock, Arkansas as of January 1, 2001","Determined that Executive Office for United States Attorneys, DOJ, was an appropriate entity for handling and referred request and requester to that component for processing",,,
FOIA-2013-05295,OIP,10/29/13,"Records related to the former United States Attorney Mary Jo White's 2001 investigation into the commutation of the sentences of four residents of New Square, New York, who had been charged and convicted of defrauding the United States government","Determined that Executive Office for United States Attorneys, DOJ, was an appropriate entity for handling and referred request and requester to that component for processing",,,
FOIA-2013-05298,OIP,10/29/13,Information regarding Reduction-In-Force Approval Letters or Notices of Separation,Determined that OPM was the most appropriate entity for handling and referred requester to that agency for processing,,,
FOIA-2013-05313,OAG,10/29/13,"All correspondence between the Department of Justice and Green Mountain Coffee Roasters or its subsidiary, Keurig, from January 1, 2010",No Records,,,
FOIA-2013-05331,OAG,10/29/13,Information concerning the Department’s response to previously sent correspondence regarding a complaint,"No Records; Provided requester with information on how to file a complaint through the DOJ online Action Center, which provides information on how to contact the Department for various purposes, including to submit a complaint, report a crime, or to find a form",,,
FOIA-2013-05362,OIP,10/29/13,Records pertaining to a conviction in a court case in the Western District of Missouri,"Determined that Executive Office for United States Attorneys, DOJ, was an appropriate entity for handling and referred request and requester to that component for processing",,,
FOIA-2013-05374,OIP,10/29/13,"Descriptions of information sought and the number of FOIA requests ""related in whole or in part to the number of defendants that were found not guilty by reason of insanity in the United States of America in 2010""",Informed requester that the FOIA is a records access statute and not applicable to this query,,,
FOIA-2014-00038,OIP,10/29/13,Copies of the Religious Freedom Restoration Act of 1993 and the Religious Land Use and Institutionalized Persons Act of 2000,Provided requester with publicly available online copies of the Religious Freedom Restoration Act of 1993 and the Religious Land Use and Institutionalized Persons Act of 2000,,,
FOIA-2014-00071,ODAG,10/29/13,"All correspondence between the Department of Justice and Green Mountain Coffee Roasters or its subsidiary, Keurig, from January 1, 2010",No Records,,,
FOIA-2014-00072,OASG,10/29/13,"All correspondence between the Department of Justice and Green Mountain Coffee Roasters or its subsidiary, Keurig, from January 1, 2010",No Records,,,
FOIA-2013-05178,OLP,10/30/13,"Oaths of office and other documents pertaining to Jackson County (Michigan) judges, prosecutors, attorneys, and other officials; and Information regarding which of the same named individuals are required to register as agents of foreign principals, as required under 22 USC § 611 the Foreign Agent Registration Act (FARA)","Informed requester that the FOIA does not apply to state or local records; Provided requester with contact information for Jackson County, MI government; Also determined that National Security Division, DOJ, was an appropriate entity for handling and referred requester to that entity for processing",,,
