Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),
FOIA-2012-01154,OLA,11/1/13,Information that was determined to be non-responsive in the OIP response for FOIA request number OLA/10-R0220,Partial Grant/Partial No Records,,,
FOIA-2013-05365,OIP,11/1/13,Records pertaining to court cases in the District of South Carolina,"Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2013-05376,OIP,11/1/13,Drug Enforcement Administration records,Determined that the DEA was the most appropriate entity for handling and referred requester to that component for processing,,,
FOIA-2013-05428,OIP,11/1/13,FOIA case logs for the Federal Bureau of Prisons for calendar years 2008 through 2012,"Determined that the Federal Bureau of Prisons, DOJ, was the most appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2014-00050,OIP,11/1/13,Information pertaining to a federal court case,"Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2013-05507,OIP,11/4/13,"Corporate Integrity Agreements from January 1, 1990 to September 1, 2013 with certain pharmaceutical corporate companies","Determined that the Office of the Inspector General, HHS, was the most appropriate entity for handling and referred requester to that office and agency for processing",,,
FOIA-2013-05508,OAG,11/4/13,"Various records on the guidance, directives, or policies regarding the handling of child pornography cases","Determined that the  Criminal Division, and the Executive Office for United States Attorneys, DOJ, were the most appropriate entities for handling and referred requester to that those components for processing",,,
FOIA-2013-05509,ODAG,11/4/13,"Various records on the guidance, directives, or policies regarding the handling of child pornography cases","Determined that the  Criminal Division, and the Executive Office for United States Attorneys, DOJ, were the most appropriate entities for handling and referred requester to that those components for processing",,,
FOIA-2013-05510,OASG,11/4/13,"Various records on the guidance, directives, or policies regarding the handling of child pornography cases","Determined that the  Criminal Division and the Executive Office for United States Attorneys, DOJ, were the most appropriate entities for handling and referred requester to that those components for processing",,,
FOIA-2014-00053,OIP,11/4/13,Information pertaining to Racketeer Influenced and Corrupt Organizations Act (RICO),"Determined that the  Criminal Division and the Executive Office for United States Attorneys, DOJ, were the most appropriate entities for handling and referred requester to that those components for processing",,,
FOIA-2014-00056,OIP,11/4/13,"Copy of a Freedom of Information Act application, fee waiver application; and instructional information on the Federal Bureau of Investigation (FBI) and the Special Litigation Section",Provided requester with copy of DOJ FOIA Reference Guide; Advised the requester that there are no forms necessary to submit a fee waiver or FOIA request,,,
FOIA-2014-00057,OIP,11/4/13,Copy of the Department of Justice's most recent FOIA Annual Report,Full Grant,,,
FOIA-2014-00066,OIP,11/4/13,Information on how to file a federal lawsuit,Informed requester that the FOIA is a records access statute and not applicable to this query; Recommended that the requester seek private counsel,,,
FOIA-2013-05168,OLP,11/5/13,"“[B]usiness registration documents” and bonds pertaining to District of Columbia (D.C.) Superior Court Judges Frederick Dorsey and Lynn Leibovitz, similar records for various named United States Attorneys and Assistant United States Attorneys, as well as various other court records","Determined that Administrative Office of U.S. Courts was the most appropriate entity for handling and referred requester to that entity for processing.  Also advised requester that the Executive Office for United States Attorneys would respond to portions of the request, and provided contact information for the DC Superior Court, and the IRS",,,
FOIA-2013-05502,OIP,11/5/13,Historical records from the FBI,Determined that the FBI was the most appropriate entity for handling and referred request and requester to that component for processing,,,
FOIA-2014-00021,OIP,11/5/13,Copies of “Federal [HIPPA] Laws”,Determined that the Dep't of Health and Human Services was the most appropriate entity for handling and referred requester to that agency for processing,,,
FOIA-2014-00049,OIP,11/5/13,Information pertaining to inmates held in lockdown and legal action,Informed requester that the FOIA is a records access statute and not applicable to this query,,,
FOIA-2014-00111,OIP,11/5/13,"Drug Enforcement Administration records referencing official actions taken against a medical doctor, including the record of the revocation of his DEA certificate",Determined that the DEA was the most appropriate entity for handling and referred request and requester to that component for processing,,,
FOIA-2014-00127,OIP,11/5/13,Copies of various sections of the Department of Justice Guide to the Freedom of Information Act (FOIA Guide),Provided requester with publicly available online information and informed requester that further production would incur duplication fees,,,
FOIA-2014-00128,OAG,11/5/13,"Copy of the Attorney General’s memorandum issued on August 12, 2013 entitled Department of Justice Policy on Charging Mandatory Minimum Sentences and Recidivist Enhancements in Certain Drug Cases",Full Grant,,,
